Instancia,Opt_Veh,Opt_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP
C101,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C102,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C103,10.0,828.06,10.0,10.00,0.000,828.07,828.07,0.00,0.00,0.00,0.00
C104,10.0,824.78,10.0,10.00,0.000,824.78,824.78,0.00,0.00,-0.00,-0.00
C105,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C106,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C107,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C108,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C109,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C201,3.0,591.56,3.0,3.00,0.000,591.56,591.56,0.00,0.00,-0.00,-0.00
C202,3.0,591.56,3.0,3.00,0.000,591.56,591.56,0.00,0.00,-0.00,-0.00
C203,3.0,591.17,3.0,3.00,0.000,591.17,591.17,0.00,0.00,0.00,0.00
C204,3.0,590.6,3.0,3.00,0.000,590.60,590.60,0.00,0.00,-0.00,-0.00
C205,3.0,588.88,3.0,3.00,0.000,588.88,588.88,0.00,0.00,-0.00,-0.00
C206,3.0,588.49,3.0,3.00,0.000,588.49,588.49,0.00,0.00,0.00,0.00
C207,3.0,588.29,3.0,3.00,0.000,588.29,588.29,0.00,0.00,-0.00,-0.00
C208,3.0,588.32,3.0,3.00,0.000,588.32,588.32,0.00,0.00,0.00,0.00
R101,19.0,1650.8,19.0,19.00,0.000,1650.80,1650.86,0.10,0.00,0.00,0.00
R102,17.0,1486.12,17.0,17.00,0.000,1486.12,1487.86,1.62,0.00,0.12,0.12
R103,13.0,1292.68,13.0,13.80,0.400,1292.68,1231.24,32.15,0.80,-4.75,75.25
R104,9.0,1007.31,10.0,10.00,0.000,981.23,984.04,3.07,1.00,-2.31,97.69
R105,14.0,1377.11,14.0,14.00,0.000,1377.11,1384.06,7.65,0.00,0.50,0.50
R106,12.0,1252.03,12.0,12.00,0.000,1252.03,1265.62,9.05,0.00,1.09,1.09
R107,10.0,1104.66,11.0,11.00,0.000,1073.60,1076.74,3.40,1.00,-2.53,97.47
R108,9.0,960.88,10.0,10.00,0.000,944.44,949.25,4.38,1.00,-1.21,98.79
R109,11.0,1194.73,12.0,12.00,0.000,1153.52,1155.40,1.67,1.00,-3.29,96.71
R110,10.0,1118.84,11.0,11.00,0.000,1083.64,1091.63,5.93,1.00,-2.43,97.57
R111,10.0,1096.73,11.0,11.00,0.000,1054.22,1056.71,3.76,1.00,-3.65,96.35
R112,9.0,982.14,10.0,10.00,0.000,955.68,963.95,5.94,1.00,-1.85,98.15
R201,4.0,1252.37,4.0,4.00,0.000,1253.23,1263.16,7.45,0.00,0.86,0.86
R202,3.0,1191.7,4.0,4.00,0.000,1079.39,1084.42,2.44,1.00,-9.00,91.00
R203,3.0,939.5,3.0,3.00,0.000,941.64,956.78,10.11,0.00,1.84,1.84
R204,2.0,825.52,3.0,3.00,0.000,751.97,762.50,7.99,1.00,-7.63,92.37
R205,3.0,994.43,3.0,3.00,0.000,994.85,1024.83,17.47,0.00,3.06,3.06
R206,3.0,906.14,3.0,3.00,0.000,912.26,924.50,10.89,0.00,2.03,2.03
R207,2.0,890.61,3.0,3.00,0.000,812.75,828.74,10.81,1.00,-6.95,93.05
R208,2.0,726.82,2.0,2.00,0.000,726.82,738.03,6.83,0.00,1.54,1.54
R209,3.0,909.16,3.0,3.00,0.000,928.33,936.21,6.32,0.00,2.98,2.98
R210,3.0,939.37,3.0,3.00,0.000,942.27,961.21,7.46,0.00,2.32,2.32
R211,2.0,885.71,3.0,3.00,0.000,767.82,792.72,12.10,1.00,-10.50,89.50
RC101,14.0,1696.95,15.0,15.00,0.000,1631.17,1635.45,7.43,1.00,-3.62,96.38
RC102,12.0,1554.75,13.0,13.00,0.000,1477.64,1490.40,9.00,1.00,-4.14,95.86
RC103,11.0,1261.67,11.0,11.00,0.000,1262.02,1273.23,6.29,0.00,0.92,0.92
RC104,10.0,1135.48,10.0,10.00,0.000,1137.25,1146.69,11.56,0.00,0.99,0.99
RC105,13.0,1629.44,14.0,14.00,0.000,1540.18,1548.58,5.02,1.00,-4.96,95.04
RC106,11.0,1424.73,12.0,12.10,0.300,1384.81,1392.65,9.71,1.10,-2.25,107.75
RC107,11.0,1230.48,11.0,11.10,0.300,1233.14,1241.06,6.07,0.10,0.86,10.86
