Instancia,Opt_Veh,Opt_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP
C101,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C102,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C103,10.0,828.06,10.0,10.00,0.000,828.07,828.07,0.00,0.00,0.00,0.00
C104,10.0,824.78,10.0,10.00,0.000,824.78,829.23,8.91,0.00,0.54,0.54
C105,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C106,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C107,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C108,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C109,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C201,3.0,591.56,3.0,3.00,0.000,591.56,603.40,23.69,0.00,2.00,2.00
C202,3.0,591.56,3.0,3.00,0.000,591.56,643.54,67.14,0.00,8.79,8.79
C203,3.0,591.17,3.0,3.00,0.000,591.17,607.11,31.86,0.00,2.70,2.70
C204,3.0,590.6,3.0,3.00,0.000,590.60,620.33,37.23,0.00,5.03,5.03
C205,3.0,588.88,3.0,3.00,0.000,588.88,608.37,38.99,0.00,3.31,3.31
C206,3.0,588.49,3.0,3.00,0.000,588.49,588.49,0.00,0.00,0.00,0.00
C207,3.0,588.29,3.0,3.00,0.000,588.29,588.29,0.00,0.00,-0.00,-0.00
C208,3.0,588.32,3.0,3.00,0.000,588.32,588.32,0.00,0.00,0.00,0.00
R101,19.0,1650.8,19.0,19.00,0.000,1650.85,1655.58,3.81,0.00,0.29,0.29
R102,17.0,1486.12,17.0,17.00,0.000,1487.31,1489.28,2.26,0.00,0.21,0.21
R103,13.0,1292.68,13.0,13.80,0.400,1301.64,1240.75,31.05,0.80,-4.02,75.98
R104,9.0,1007.31,10.0,10.00,0.000,981.23,987.34,4.33,1.00,-1.98,98.02
R105,14.0,1377.11,14.0,14.00,0.000,1377.11,1397.47,14.37,0.00,1.48,1.48
R106,12.0,1252.03,12.0,12.60,0.490,1271.42,1265.28,21.72,0.60,1.06,61.06
R107,10.0,1104.66,11.0,11.00,0.000,1076.44,1081.38,4.71,1.00,-2.11,97.89
R108,9.0,960.88,9.0,9.80,0.400,985.16,962.23,13.16,0.80,0.14,80.14
R109,11.0,1194.73,12.0,12.00,0.000,1153.89,1159.96,5.87,1.00,-2.91,97.09
R110,10.0,1118.84,11.0,11.00,0.000,1082.79,1095.71,13.60,1.00,-2.07,97.93
R111,10.0,1096.73,11.0,11.00,0.000,1054.22,1064.73,6.15,1.00,-2.92,97.08
R112,9.0,982.14,10.0,10.00,0.000,957.72,960.96,3.25,1.00,-2.16,97.84
R201,4.0,1252.37,4.0,4.00,0.000,1268.85,1275.34,3.58,0.00,1.83,1.83
R202,3.0,1191.7,4.0,4.00,0.000,1084.76,1100.61,12.95,1.00,-7.64,92.36
R203,3.0,939.5,3.0,3.00,0.000,950.57,952.62,2.95,0.00,1.40,1.40
R204,2.0,825.52,3.0,3.00,0.000,755.72,766.22,6.74,1.00,-7.18,92.82
R205,3.0,994.43,3.0,3.00,0.000,1055.11,1059.74,3.90,0.00,6.57,6.57
R206,3.0,906.14,3.0,3.00,0.000,912.75,933.10,17.69,0.00,2.98,2.98
R207,2.0,890.61,3.0,3.00,0.000,817.10,828.66,7.06,1.00,-6.96,93.04
R208,2.0,726.82,2.0,2.00,0.000,726.82,742.38,13.20,0.00,2.14,2.14
R209,3.0,909.16,3.0,3.00,0.000,937.66,946.82,4.97,0.00,4.14,4.14
R210,3.0,939.37,3.0,3.00,0.000,960.04,965.16,4.51,0.00,2.75,2.75
R211,2.0,885.71,3.0,3.00,0.000,794.69,804.80,7.79,1.00,-9.13,90.87
RC101,14.0,1696.95,15.0,15.00,0.000,1656.32,1656.98,0.78,1.00,-2.36,97.64
RC102,12.0,1554.75,13.0,13.40,0.490,1498.32,1500.18,11.04,1.40,-3.51,136.49
RC103,11.0,1261.67,11.0,11.40,0.490,1277.00,1296.36,14.83,0.40,2.75,42.75
RC104,10.0,1135.48,10.0,10.00,0.000,1138.90,1155.33,9.69,0.00,1.75,1.75
RC105,13.0,1629.44,14.0,14.00,0.000,1541.20,1552.87,11.25,1.00,-4.70,95.30
RC106,11.0,1424.73,12.0,12.20,0.400,1385.92,1390.66,5.55,1.20,-2.39,117.61
RC107,11.0,1230.48,11.0,11.20,0.400,1244.19,1253.71,5.12,0.20,1.89,21.89
