Instancia,Opt_Veh,Opt_Dist,Run1_Veh,Run1_Dist,Run2_Veh,Run2_Dist,Run3_Veh,Run3_Dist,Run4_Veh,Run4_Dist,Run5_Veh,Run5_Dist,Run6_Veh,Run6_Dist,Run7_Veh,Run7_Dist,Run8_Veh,Run8_Dist,Run9_Veh,Run9_Dist,Run10_Veh,Run10_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP,Avg_Time(s)
C101,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,3.71
C102,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,3.81
C103,10.0,828.06,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,10.00,0.000,828.07,828.07,0.00,0.00,0.00,0.00,4.10
C104,10.0,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,846.09,10,824.78,10,844.46,10,824.78,10,824.78,10,10.00,0.000,824.78,828.88,8.21,0.00,0.50,0.50,4.10
C105,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,3.73
C106,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,3.54
C107,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,3.54
C108,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,3.59
C109,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,3.72
C201,3.0,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,711.98,3,769.39,3,591.56,3,591.56,3,591.56,3,3.00,0.000,591.56,621.38,61.02,0.00,5.04,5.04,5.20
C202,3.0,591.56,3,591.56,3,591.56,3,591.56,3,687.80,3,591.56,3,591.56,3,687.80,3,591.56,3,591.56,3,591.56,3,3.00,0.000,591.56,610.81,38.50,0.00,3.25,3.25,6.46
C203,3.0,591.17,3,645.46,3,591.17,3,670.85,3,591.17,3,739.46,3,591.17,3,670.85,3,670.83,3,591.17,3,591.17,3,3.00,0.000,591.17,635.33,49.48,0.00,7.47,7.47,7.06
C204,3.0,590.6,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,3.00,0.000,590.60,590.60,0.00,0.00,-0.00,-0.00,7.11
C205,3.0,588.88,3,647.30,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,686.35,3,588.88,3,3.00,0.000,588.88,604.47,32.38,0.00,2.65,2.65,4.37
C206,3.0,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,3.00,0.000,588.49,588.49,0.00,0.00,0.00,0.00,4.71
C207,3.0,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,683.27,3,588.29,3,588.29,3,3.00,0.000,588.29,597.78,28.50,0.00,1.61,1.61,4.92
