Instancia,Opt_Veh,Opt_Dist,CLASSIC_BestVeh,CLASSIC_StdVeh,CLASSIC_BestDist,CLASSIC_StdDist,CLASSIC_AvgTime,CLASSIC_UnifiedGAP,QLEARNING_BestVeh,QLEARNING_StdVeh,QLEARNING_BestDist,QLEARNING_StdDist,QLEARNING_AvgTime,QLEARNING_UnifiedGAP,DQN_BestVeh,DQN_StdVeh,DQN_BestDist,DQN_StdDist,DQN_AvgTime,DQN_UnifiedGAP
C101,10.0,828.94,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00
C102,10.0,828.94,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00
C103,10.0,828.06,10.0,0.000,828.07,0.00,0.00,0.00,10.0,0.000,828.07,0.00,0.00,0.00,10.0,0.000,828.07,0.00,0.00,0.00
C104,10.0,824.78,10.0,0.000,824.78,0.00,0.00,-0.00,10.0,0.000,824.78,0.00,0.00,-0.00,10.0,0.000,824.78,8.91,0.00,0.54
C105,10.0,828.94,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00
C106,10.0,828.94,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00
C107,10.0,828.94,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00
C108,10.0,828.94,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00
C109,10.0,828.94,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00,10.0,0.000,828.94,0.00,0.00,-0.00
C201,3.0,591.56,3.0,0.000,591.56,0.00,0.00,-0.00,3.0,0.000,591.56,0.00,0.00,-0.00,3.0,0.000,591.56,23.69,0.00,2.00
C202,3.0,591.56,3.0,0.000,591.56,0.00,0.00,-0.00,3.0,0.000,591.56,0.00,0.00,-0.00,3.0,0.000,591.56,67.14,0.00,8.79
C203,3.0,591.17,3.0,0.000,591.17,0.00,0.00,0.00,3.0,0.000,591.17,42.43,0.00,2.39,3.0,0.000,591.17,31.86,0.00,2.70
C204,3.0,590.6,3.0,0.000,590.60,0.00,0.00,-0.00,3.0,0.000,590.60,25.56,0.00,1.44,3.0,0.000,590.60,37.23,0.00,5.03
C205,3.0,588.88,3.0,0.000,588.88,0.00,0.00,-0.00,3.0,0.000,588.88,29.24,0.00,1.65,3.0,0.000,588.88,38.99,0.00,3.31
C206,3.0,588.49,3.0,0.000,588.49,0.00,0.00,0.00,3.0,0.000,588.49,17.64,0.00,1.00,3.0,0.000,588.49,0.00,0.00,0.00
C207,3.0,588.29,3.0,0.000,588.29,0.00,0.00,-0.00,3.0,0.000,588.29,0.00,0.00,-0.00,3.0,0.000,588.29,0.00,0.00,-0.00
C208,3.0,588.32,3.0,0.000,588.32,0.00,0.00,0.00,3.0,0.000,588.32,0.00,0.00,0.00,3.0,0.000,588.32,0.00,0.00,0.00
R101,19.0,1650.8,19.0,0.000,1650.80,0.10,0.00,0.00,19.0,0.000,1650.80,15.72,0.00,0.38,19.0,0.000,1650.85,3.81,0.00,0.29
R102,17.0,1486.12,17.0,0.000,1486.12,1.62,0.00,0.12,17.0,0.000,1486.41,2.32,0.00,0.14,17.0,0.000,1487.31,2.26,0.00,0.21
R103,13.0,1292.68,13.0,0.400,1292.68,32.15,0.00,75.25,14.0,0.000,1213.62,4.23,0.00,94.18,13.0,0.400,1301.64,31.05,0.00,75.98
R104,9.0,1007.31,10.0,0.000,981.23,3.07,0.00,97.69,10.0,0.000,981.23,11.47,0.00,98.29,10.0,0.000,981.23,4.33,0.00,98.02
R105,14.0,1377.11,14.0,0.000,1377.11,7.65,0.00,0.50,14.0,0.000,1377.63,10.28,0.00,0.72,14.0,0.000,1377.11,14.37,0.00,1.48
R106,12.0,1252.03,12.0,0.000,1252.03,9.05,0.00,1.09,12.0,0.490,1257.96,8.08,0.00,40.33,12.0,0.490,1271.42,21.72,0.00,61.06
