Instancia,Opt_Veh,Opt_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP
C101,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C102,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C103,10.0,828.06,10.0,10.00,0.000,828.07,828.07,0.00,0.00,0.00,0.00
C104,10.0,824.78,10.0,10.00,0.000,824.78,824.78,0.00,0.00,-0.00,-0.00
C105,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C106,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C107,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C108,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C109,10.0,828.94,10.0,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00
C201,3.0,591.56,3.0,3.00,0.000,591.56,591.56,0.00,0.00,-0.00,-0.00
C202,3.0,591.56,3.0,3.00,0.000,591.56,591.56,0.00,0.00,-0.00,-0.00
C203,3.0,591.17,3.0,3.00,0.000,591.17,605.31,42.43,0.00,2.39,2.39
C204,3.0,590.6,3.0,3.00,0.000,590.60,599.12,25.56,0.00,1.44,1.44
C205,3.0,588.88,3.0,3.00,0.000,588.88,598.62,29.24,0.00,1.65,1.65
C206,3.0,588.49,3.0,3.00,0.000,588.49,594.37,17.64,0.00,1.00,1.00
C207,3.0,588.29,3.0,3.00,0.000,588.29,588.29,0.00,0.00,-0.00,-0.00
C208,3.0,588.32,3.0,3.00,0.000,588.32,588.32,0.00,0.00,0.00,0.00
R101,19.0,1650.8,19.0,19.00,0.000,1650.80,1657.15,15.72,0.00,0.38,0.38
R102,17.0,1486.12,17.0,17.00,0.000,1486.41,1488.24,2.32,0.00,0.14,0.14
R103,13.0,1292.68,14.0,14.00,0.000,1213.62,1217.47,4.23,1.00,-5.82,94.18
R104,9.0,1007.31,10.0,10.00,0.000,981.23,990.09,11.47,1.00,-1.71,98.29
R105,14.0,1377.11,14.0,14.00,0.000,1377.63,1387.03,10.28,0.00,0.72,0.72
R106,12.0,1252.03,12.0,12.40,0.490,1257.96,1256.17,8.08,0.40,0.33,40.33
R107,10.0,1104.66,11.0,11.00,0.000,1073.91,1076.43,1.79,1.00,-2.56,97.44
R108,9.0,960.88,9.0,9.70,0.458,965.13,958.93,12.00,0.70,-0.20,69.80
R109,11.0,1194.73,12.0,12.00,0.000,1153.52,1159.52,4.46,1.00,-2.95,97.05
R110,10.0,1118.84,11.0,11.10,0.300,1080.64,1093.58,9.71,1.10,-2.26,107.74
R111,10.0,1096.73,11.0,11.00,0.000,1054.22,1060.94,10.82,1.00,-3.26,96.74
R112,9.0,982.14,10.0,10.00,0.000,960.64,965.51,5.76,1.00,-1.69,98.31
R201,4.0,1252.37,4.0,4.00,0.000,1252.37,1262.70,9.88,0.00,0.82,0.82
R202,3.0,1191.7,4.0,4.00,0.000,1084.38,1099.17,12.01,1.00,-7.76,92.24
R203,3.0,939.5,3.0,3.00,0.000,943.50,962.48,21.70,0.00,2.45,2.45
R204,2.0,825.52,2.0,2.80,0.400,842.36,780.89,33.09,0.80,-5.41,74.59
R205,3.0,994.43,3.0,3.00,0.000,1021.37,1037.73,14.03,0.00,4.35,4.35
R206,3.0,906.14,3.0,3.00,0.000,912.25,930.40,11.27,0.00,2.68,2.68
R207,2.0,890.61,3.0,3.00,0.000,814.99,837.39,15.91,1.00,-5.98,94.02
R208,2.0,726.82,2.0,2.00,0.000,726.82,738.94,6.03,0.00,1.67,1.67
R209,3.0,909.16,3.0,3.00,0.000,917.60,936.33,13.63,0.00,2.99,2.99
R210,3.0,939.37,3.0,3.00,0.000,955.74,966.23,7.14,0.00,2.86,2.86
R211,2.0,885.71,3.0,3.00,0.000,775.36,797.47,13.89,1.00,-9.96,90.04
RC101,14.0,1696.95,15.0,15.00,0.000,1624.97,1636.18,9.26,1.00,-3.58,96.42
RC102,12.0,1554.75,13.0,13.40,0.490,1477.64,1488.12,5.55,1.40,-4.29,135.71
RC103,11.0,1261.67,11.0,11.40,0.490,1265.80,1296.20,19.10,0.40,2.74,42.74
RC104,10.0,1135.48,10.0,10.10,0.300,1138.13,1156.03,11.03,0.10,1.81,11.81
RC105,13.0,1629.44,14.0,14.00,0.000,1542.27,1554.27,5.63,1.00,-4.61,95.39
RC106,11.0,1424.73,12.0,12.40,0.490,1386.07,1395.89,11.90,1.40,-2.02,137.98
RC107,11.0,1230.48,11.0,11.30,0.458,1239.28,1255.63,14.30,0.30,2.04,32.04
