Instancia,BKS_Veh,BKS_Dist,CLASSIC_Vehiculos,CLASSIC_Distancia,CLASSIC_DIF_f1,CLASSIC_GAP_f2(%),CLASSIC_Tiempo_s,QLEARNING_Vehiculos,QLEARNING_Distancia,QLEARNING_DIF_f1,QLEARNING_GAP_f2(%),QLEARNING_Tiempo_s
c101,10,828.94,10.0,828.94,0.0,0.0,4.61,10.0,828.94,0.0,0.0,4.54
c102,10,828.94,10.0,828.94,0.0,0.0,5.51,10.0,828.94,0.0,0.0,5.67
c103,10,828.06,10.0,828.07,0.0,0.0,6.04,10.0,828.07,0.0,0.0,6.17
c104,10,824.78,10.0,824.78,0.0,0.0,5.99,10.0,824.78,0.0,0.0,6.55
c105,10,828.94,10.0,828.94,0.0,0.0,4.98,10.0,828.94,0.0,0.0,4.9
c106,10,828.94,10.0,828.94,0.0,0.0,5.2,10.0,828.94,0.0,0.0,5.33
c107,10,828.94,10.0,828.94,0.0,0.0,5.11,10.0,828.94,0.0,0.0,5.07
c108,10,828.94,10.0,828.94,0.0,0.0,5.39,10.0,828.94,0.0,0.0,5.85
c109,10,828.94,10.0,828.94,0.0,0.0,5.39,10.0,828.94,0.0,0.0,5.95
c201,3,591.56,3.0,591.56,0.0,0.0,4.67,3.0,591.56,0.0,0.0,5.09
c202,3,591.56,3.0,591.56,0.0,0.0,5.56,3.0,591.56,0.0,0.0,6.09
c203,3,591.17,3.0,599.14,0.0,1.35,5.89,3.0,591.17,0.0,0.0,6.54
c204,3,590.6,3.0,590.6,0.0,0.0,6.21,3.0,590.6,0.0,0.0,6.83
c205,3,588.88,3.0,588.88,0.0,0.0,4.2,3.0,588.88,0.0,0.0,4.76
c206,3,588.49,3.0,588.49,0.0,0.0,4.41,3.0,588.49,0.0,0.0,4.82
c207,3,588.29,3.0,588.29,0.0,0.0,4.58,3.0,588.29,0.0,0.0,4.92
c208,3,588.32,3.0,588.32,0.0,0.0,4.49,3.0,588.32,0.0,0.0,4.75
r101,19,1650.8,19.0,1650.95,0.0,0.01,6.31,19.0,1652.19,0.0,0.08,6.29
r102,17,1486.12,17.0,1487.19,0.0,0.07,7.35,17.0,1487.62,0.0,0.1,7.71
r103,13,1292.68,14.0,1214.42,1.0,,7.31,13.8,1230.63,0.8,,7.47
r104,9,1007.31,10.0,984.04,1.0,,6.96,10.0,984.37,1.0,,7.48
r105,14,1377.11,14.0,1384.28,0.0,0.52,5.74,14.0,1381.55,0.0,0.32,6.12
r106,12,1252.03,12.0,1260.92,0.0,0.71,7.17,12.0,1262.56,0.0,0.84,7.51
r107,10,1104.66,11.0,1076.89,1.0,,7.06,11.0,1077.1,1.0,,7.26
r108,9,960.88,10.0,948.39,1.0,,6.69,9.9,947.57,0.9,,7.26
r109,11,1194.73,12.0,1154.41,1.0,,5.76,12.0,1154.2,1.0,,6.05
r110,10,1118.84,11.0,1090.67,1.0,,6.95,11.0,1090.9,1.0,,7.2
r111,10,1096.73,11.0,1057.39,1.0,,6.84,11.0,1054.29,1.0,,7.38
r112,9,982.14,10.0,962.7,1.0,,6.96,10.0,961.98,1.0,,7.53
r201,4,1252.37,4.0,1266.33,0.0,1.11,5.18,4.0,1259.11,0.0,0.54,5.43
r202,3,1191.7,4.0,1085.19,1.0,,5.95,4.0,1082.94,1.0,,6.18
r203,3,939.5,3.0,954.02,0.0,1.55,6.39,3.0,948.53,0.0,0.96,6.67
r204,2,825.52,3.0,758.12,1.0,,6.53,3.0,757.05,1.0,,6.77
r205,3,994.43,3.0,1025.73,0.0,3.15,5.28,3.0,1027.03,0.0,3.28,5.63
r206,3,906.14,3.0,924.1,0.0,1.98,5.81,3.0,917.72,0.0,1.28,6.42
r207,2,890.61,3.0,827.93,1.0,,6.41,3.0,819.73,1.0,,6.68
r208,2,726.82,2.3,728.31,0.3,,6.18,2.0,735.19,0.0,1.15,6.83
r209,3,909.16,3.0,929.02,0.0,2.18,5.84,3.0,927.53,0.0,2.02,6.48
r210,3,939.37,3.0,964.44,0.0,2.67,6.13,3.0,960.12,0.0,2.21,6.57
r211,2,885.71,3.0,787.54,1.0,,6.23,3.0,782.99,1.0,,6.67
rc101,14,1696.95,15.0,1636.43,1.0,,5.75,15.0,1639.13,1.0,,6.01
rc102,12,1554.75,13.1,1489.35,1.1,,6.79,13.0,1490.41,1.0,,6.9
rc103,11,1261.67,11.2,1287.43,0.2,,7.17,11.0,1277.13,0.0,1.23,7.55
rc104,10,1135.48,10.0,1144.82,0.0,0.82,6.85,10.0,1143.37,0.0,0.69,6.92
rc105,13,1629.44,14.0,1548.32,1.0,,6.53,14.0,1543.82,1.0,,6.51
rc106,11,1424.73,12.1,1394.24,1.1,,5.48,12.0,1392.6,1.0,,6.08
rc107,11,1230.48,11.2,1244.62,0.2,,6.67,11.1,1250.44,0.1,,6.93
rc108,10,1139.82,10.6,1135.89,0.6,,6.78,10.5,1142.68,0.5,,6.92
rc201,4,1406.94,4.0,1437.27,0.0,2.16,5.01,4.0,1431.72,0.0,1.76,5.44
rc202,3,1365.65,4.0,1198.96,1.0,,5.78,4.0,1176.8,1.0,,5.99
rc203,3,1049.62,3.7,994.65,0.7,,6.56,3.0,1071.24,0.0,2.06,6.77
rc204,3,798.46,3.0,807.48,0.0,1.13,6.2,3.0,808.29,0.0,1.23,6.68
rc205,4,1297.65,4.0,1337.54,0.0,3.07,5.79,4.0,1331.93,0.0,2.64,6.07
rc206,3,1146.32,3.7,1117.17,0.7,,5.36,3.1,1163.87,0.1,,5.86
rc207,3,1061.14,3.8,1033.57,0.8,,6.23,3.3,1068.86,0.3,,6.58
rc208,3,828.14,3.0,838.97,0.0,1.31,6.3,3.0,837.45,0.0,1.12,6.85
