Instancia,BKS_Vehiculos,BKS_Distancia,CLASSIC_Vehiculos,QLEARNING_Vehiculos,CLASSIC_Distancia,QLEARNING_Distancia,CLASSIC_Vehiculos_Promedio,QLEARNING_Vehiculos_Promedio,CLASSIC_Distancia_Promedio,QLEARNING_Distancia_Promedio,CLASSIC_Delta_Vehiculos,QLEARNING_Delta_Vehiculos,CLASSIC_GAP_Dist_Mejor (%),QLEARNING_GAP_Dist_Mejor (%),CLASSIC_GAP_Dist_Prom (%),QLEARNING_GAP_Dist_Prom (%),CLASSIC_Iter_Convergencia,QLEARNING_Iter_Convergencia,CLASSIC_Iter_Conv_Promedio,QLEARNING_Iter_Conv_Promedio,CLASSIC_Tiempo_Mejor,QLEARNING_Tiempo_Mejor,CLASSIC_Tiempo_Promedio,QLEARNING_Tiempo_Promedio
c101,10,828.94,10.0,10.0,828.937,828.937,10.0,10.0,828.9370000000001,828.9370000000001,0.0,0.0,-0.00036190797886973073,-0.00036190797886973073,-0.00036190797885601606,-0.00036190797885601606,6,24,84.8,58.2,4.3867,4.7059,4.6047899999999995,5.27034
c102,10,828.94,10.0,10.0,828.937,828.937,10.0,10.0,828.9370000000001,828.9370000000001,0.0,0.0,-0.00036190797886973073,-0.00036190797886973073,-0.00036190797885601606,-0.00036190797885601606,60,65,147.2,121.7,5.1335,4.204,5.298109999999999,4.944660000000001
c103,10,828.06,10.0,10.0,828.065,828.065,10.0,10.0,828.0650000000002,828.0650000000002,0.0,0.0,0.00060382097916928,0.00060382097916928,0.0006038209791830093,0.0006038209791830093,679,1085,828.8,609.1,5.6701,4.793,5.82982,5.06725
c104,10,824.78,10.0,10.0,824.777,824.777,10.0,10.0,824.777,824.777,0.0,0.0,-0.00036373335919021553,-0.00036373335919021553,-0.00036373335919021553,-0.00036373335919021553,6415,3311,5769.5,3891.8,5.9624,5.7741,6.12322,6.43294
c105,10,828.94,10.0,10.0,828.937,828.937,10.0,10.0,828.9370000000001,828.9370000000001,0.0,0.0,-0.00036190797886973073,-0.00036190797886973073,-0.00036190797885601606,-0.00036190797885601606,266,24,116.6,39.7,4.7569,4.8579,4.86481,5.460389999999999
c106,10,828.94,10.0,10.0,828.937,828.937,10.0,10.0,828.9370000000001,828.9370000000001,0.0,0.0,-0.00036190797886973073,-0.00036190797886973073,-0.00036190797885601606,-0.00036190797885601606,658,65,160.8,79.3,4.853,5.6993,5.02832,6.30066
c107,10,828.94,10.0,10.0,828.937,828.937,10.0,10.0,828.9370000000001,828.9370000000001,0.0,0.0,-0.00036190797886973073,-0.00036190797886973073,-0.00036190797885601606,-0.00036190797885601606,228,260,162.1,140.1,4.6736,6.3331,4.80091,6.4748
c108,10,828.94,10.0,10.0,828.937,828.937,10.0,10.0,828.9370000000001,828.9370000000001,0.0,0.0,-0.00036190797886973073,-0.00036190797886973073,-0.00036190797885601606,-0.00036190797885601606,49,90,153.0,151.6,4.9771,4.2926,5.1115,4.80405
c109,10,828.94,10.0,10.0,828.937,828.937,10.0,10.0,828.9370000000001,828.9370000000001,0.0,0.0,-0.00036190797886973073,-0.00036190797886973073,-0.00036190797885601606,-0.00036190797885601606,997,721,1116.5,874.9,5.0695,4.1602,5.1324,4.878069999999999
c201,3,591.56,3.0,3.0,591.557,591.557,3.0,3.0,591.557,591.557,0.0,0.0,-0.0005071336804261714,-0.0005071336804261714,-0.0005071336804261714,-0.0005071336804261714,15,10,93.6,38.8,4.477,4.3057,4.558339999999999,4.44248
c202,3,591.56,3.0,3.0,591.557,591.557,3.0,3.0,591.557,591.557,0.0,0.0,-0.0005071336804261714,-0.0005071336804261714,-0.0005071336804261714,-0.0005071336804261714,60,41,305.4,388.0,5.2465,4.155,5.36997,4.64272
c203,3,591.17,3.0,3.0,591.173,591.173,3.0,3.0,591.173,606.0965,0.0,0.0,0.0005074682409531516,0.0005074682409531516,0.0005074682409531516,2.5249082328264345,389,351,512.0,277.8,5.5397,4.7021,5.62001,5.13437
c204,3,590.6,3.0,3.0,590.599,590.599,3.0,3.0,596.8057000000001,590.599,0.0,0.0,-0.00016931933626419796,-0.00016931933626419796,1.0507450050795957,-0.00016931933626419796,160,859,1625.2,2267.9,5.7366,4.926,5.8254,5.24786
c205,3,588.88,3.0,3.0,588.876,588.876,3.0,3.0,588.876,588.876,0.0,0.0,-0.0006792555359358613,-0.0006792555359358613,-0.0006792555359358613,-0.0006792555359358613,21,44,82.8,145.0,3.993,3.0918,4.0532200000000005,3.30184
c206,3,588.49,3.0,3.0,588.493,588.493,3.0,3.0,588.493,588.493,0.0,0.0,0.0005097792655852684,0.0005097792655852684,0.0005097792655852684,0.0005097792655852684,68,39,124.4,83.3,4.1953,3.3234,4.28373,3.465
c207,3,588.29,3.0,3.0,588.286,588.286,3.0,3.0,588.286,588.286,0.0,0.0,-0.0006799367658840197,-0.0006799367658840197,-0.0006799367658840197,-0.0006799367658840197,29,56,248.6,142.9,4.3626,3.4956,4.44788,3.97682
c208,3,588.32,3.0,3.0,588.324,588.324,3.0,3.0,588.324,588.324,0.0,0.0,0.0006799020940823722,0.0006799020940823722,0.0006799020940823722,0.0006799020940823722,304,77,116.9,113.3,4.1785,3.3573,4.2702,3.7205500000000002
r101,19,1650.8,19.0,19.0,1650.8,1650.8,19.0,19.0,1650.863,1651.007,0.0,0.0,0.0,0.0,0.0038163314756543415,0.012539374848564776,12896,19586,16779.7,18336.0,5.8818,4.7841,6.05079,5.72762
r102,17,1486.12,17.0,17.0,1486.12,1486.12,17.0,17.0,1487.0049999999999,1487.0949999999998,0.0,0.0,0.0,0.0,0.05955104567598788,0.06560708421930322,9834,7646,11791.8,12195.1,7.0722,6.5149,7.2209699999999994,6.84692
r103,13,1292.68,13.0,13.0,1292.68,1293.32,13.7,13.7,1240.0639999999999,1238.968,0.0,0.0,0.0,0.049509546059339715,-4.070303555404293,-4.155088653030911,15550,4867,14877.1,11238.0,6.6528,5.6489,6.891360000000001,6.59351
