Algoritmo,Instancia,Run,Vehiculos,Distancia,Iter_Convergencia,Tiempo_s
CLASSIC,c101,1,10.0,828.937,25,4.63
CLASSIC,c101,10,10.0,828.937,43,4.636
CLASSIC,c101,2,10.0,828.937,36,4.576
CLASSIC,c101,3,10.0,828.937,76,4.765
CLASSIC,c101,4,10.0,828.937,40,4.684
CLASSIC,c101,5,10.0,828.937,170,4.601
CLASSIC,c101,6,10.0,828.937,153,4.474
CLASSIC,c101,7,10.0,828.937,183,4.614
CLASSIC,c101,8,10.0,828.937,54,4.575
CLASSIC,c101,9,10.0,828.937,177,4.582
CLASSIC,c102,1,10.0,828.937,502,5.619
CLASSIC,c102,10,10.0,828.937,122,5.328
CLASSIC,c102,2,10.0,828.937,15,5.304
CLASSIC,c102,3,10.0,828.937,23,5.817
CLASSIC,c102,4,10.0,828.937,115,5.339
CLASSIC,c102,5,10.0,828.937,92,5.551
CLASSIC,c102,6,10.0,828.937,137,5.753
CLASSIC,c102,7,10.0,828.937,402,5.336
CLASSIC,c102,8,10.0,828.937,160,5.738
CLASSIC,c102,9,10.0,828.937,153,5.303
CLASSIC,c103,1,10.0,828.065,42,6.314
CLASSIC,c103,10,10.0,828.065,296,6.058
CLASSIC,c103,2,10.0,828.065,379,6.378
CLASSIC,c103,3,10.0,828.065,1476,5.782
CLASSIC,c103,4,10.0,828.065,436,5.835
CLASSIC,c103,5,10.0,828.065,457,6.012
CLASSIC,c103,6,10.0,828.065,193,6.3
CLASSIC,c103,7,10.0,828.065,180,5.826
CLASSIC,c103,8,10.0,828.065,389,5.841
CLASSIC,c103,9,10.0,828.065,264,6.066
CLASSIC,c104,1,10.0,824.777,6272,6.31
CLASSIC,c104,10,10.0,824.777,5462,5.822
CLASSIC,c104,2,10.0,824.777,5920,6.202
CLASSIC,c104,3,10.0,824.777,5385,5.784
CLASSIC,c104,4,10.0,824.777,6625,5.683
CLASSIC,c104,5,10.0,824.777,5868,6.061
CLASSIC,c104,6,10.0,824.777,5503,5.984
CLASSIC,c104,7,10.0,824.777,6784,6.313
CLASSIC,c104,8,10.0,824.777,4954,5.758
CLASSIC,c104,9,10.0,824.777,5323,5.975
CLASSIC,c105,1,10.0,828.937,72,4.93
CLASSIC,c105,10,10.0,828.937,127,4.753
CLASSIC,c105,2,10.0,828.937,111,5.047
CLASSIC,c105,3,10.0,828.937,28,4.773
CLASSIC,c105,4,10.0,828.937,96,4.894
CLASSIC,c105,5,10.0,828.937,28,4.945
CLASSIC,c105,6,10.0,828.937,58,5.081
CLASSIC,c105,7,10.0,828.937,7,5.13
CLASSIC,c105,8,10.0,828.937,19,5.144
CLASSIC,c105,9,10.0,828.937,26,5.093
CLASSIC,c106,1,10.0,828.937,114,5.349
CLASSIC,c106,10,10.0,828.937,94,5.435
CLASSIC,c106,2,10.0,828.937,41,5.049
CLASSIC,c106,3,10.0,828.937,32,4.994
CLASSIC,c106,4,10.0,828.937,129,5.393
CLASSIC,c106,5,10.0,828.937,86,5.412
CLASSIC,c106,6,10.0,828.937,66,5.228
CLASSIC,c106,7,10.0,828.937,16,5.047
CLASSIC,c106,8,10.0,828.937,65,5.021
CLASSIC,c106,9,10.0,828.937,145,5.118
CLASSIC,c107,1,10.0,828.937,108,4.957
CLASSIC,c107,10,10.0,828.937,227,4.866
CLASSIC,c107,2,10.0,828.937,81,5.048
CLASSIC,c107,3,10.0,828.937,42,5.094
CLASSIC,c107,4,10.0,828.937,31,5.228
CLASSIC,c107,5,10.0,828.937,172,5.102
CLASSIC,c107,6,10.0,828.937,29,5.215
CLASSIC,c107,7,10.0,828.937,361,5.227
CLASSIC,c107,8,10.0,828.937,56,5.203
CLASSIC,c107,9,10.0,828.937,30,5.204
CLASSIC,c108,1,10.0,828.937,118,5.576
CLASSIC,c108,10,10.0,828.937,70,5.186
CLASSIC,c108,2,10.0,828.937,156,5.594
CLASSIC,c108,3,10.0,828.937,186,5.135
CLASSIC,c108,4,10.0,828.937,111,5.468
