iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,13,1729.64,13,1729.64,3,1,33,271.294,1,1,1,4.2,1,4.2,1,1
1,11,1479.77,11,1479.77,0,1,33,271.159,4.2,1,1,4.2,1,7.08,1,1
2,11,1425.25,11,1425.25,3,1,33,271.023,4.2,1,1,7.08,1,9.672,1,1
3,8,1163.36,8,1163.36,1,1,33,270.887,4.2,4.2,1,7.08,1,12.0048,1,1
4,8,1111.3,8,1111.3,3,1,33,270.752,4.2,4.2,1,9.672,1,14.1043,1,1
5,7,1048.9,7,1048.9,3,1,33,270.617,4.2,4.2,1,12.0048,1,15.9939,1,1
6,7,885.94,7,885.94,3,1,33,270.481,4.2,4.2,1,14.1043,1,17.6945,1,1
7,5,780.94,5,780.94,1,1,33,270.346,4.2,7.08,1,14.1043,1,19.225,1,1
8,5,776.317,5,776.317,0,1,33,270.211,7.08,7.08,1,14.1043,1,20.6025,1,1
9,5,776.317,5,776.317,3,1,13,270.076,7.08,7.08,1,13.9939,1,19.8423,1,1
10,5,759.854,5,759.854,3,1,33,269.941,7.08,7.08,1,15.8945,1,21.1581,1,1
11,5,759.854,5,759.854,0,1,13,269.806,7.672,7.08,1,15.8945,1,20.3423,1,1
12,5,757.141,5,757.141,3,1,33,269.671,7.672,7.08,1,17.605,1,21.608,1,1
13,5,710.747,5,710.747,0,1,33,269.536,10.2048,7.08,1,17.605,1,22.7472,1,1
14,4,664.902,4,664.902,0,1,33,269.401,12.4843,7.08,1,17.605,1,23.7725,1,1
15,4,664.902,4,672.889,1,3,9,269.267,12.4843,7.272,1,17.605,1,23.7725,1,1.8
16,3,595.117,3,595.117,1,1,33,269.132,12.4843,9.8448,1,17.605,1,24.6953,1,1.8
17,3,595.117,3,595.117,0,1,13,268.997,12.5359,9.8448,1,17.605,1,23.5257,1,1.8
18,3,595.117,3,595.117,0,1,13,268.863,12.5823,9.8448,1,17.605,1,22.4732,1,1.8
19,3,595.117,3,645.028,1,1,9,268.728,12.5823,9.76032,1,17.605,1,21.1258,1,1.8
20,3,595.117,3,645.028,0,1,9,268.594,12.2241,9.76032,1,17.605,1,19.9133,1,1.8
21,3,591.557,3,591.557,2,1,33,268.46,12.2241,9.76032,4.2,17.605,1,21.2219,1,1.8
22,3,591.557,3,603.879,1,1,9,268.326,12.2241,9.68429,4.2,17.605,1,19.9997,1,1.8
23,3,591.557,3,603.879,0,1,9,268.191,11.9017,9.68429,4.2,17.605,1,18.8998,1,1.8
24,3,591.557,3,591.557,0,1,13,268.057,12.0115,9.68429,4.2,17.605,1,18.3098,1,1.8
25,3,591.557,3,627.994,1,1,9,267.923,12.0115,9.61586,4.2,17.605,1,17.3788,1,1.8
26,3,591.557,3,627.994,3,1,9,267.789,12.0115,9.61586,4.2,16.7445,1,16.5409,1,1.8
27,3,591.557,3,591.557,1,2,13,267.655,12.0115,9.95427,4.2,16.7445,1,16.5409,2.2,1.8
28,3,591.557,3,591.557,3,1,13,267.522,12.0115,9.95427,4.2,16.3701,1,16.1868,2.2,1.8
29,3,591.557,3,591.557,0,1,13,267.388,12.1103,9.95427,4.2,16.3701,1,15.8682,2.2,1.8
30,3,591.557,3,627.994,1,1,9,267.254,12.1103,9.85885,4.2,16.3701,1,15.1813,2.2,1.8
31,3,591.557,3,621.51,0,1,13,267.121,12.1993,9.85885,4.2,16.3701,1,14.9632,2.2,1.8
32,3,591.557,3,591.557,0,2,13,266.987,12.2794,9.85885,4.2,16.3701,1,14.9632,3.28,1.8
33,3,591.557,3,627.994,1,1,9,266.853,12.2794,9.77296,4.2,16.3701,1,14.3669,3.28,1.8
34,3,591.557,3,645.028,1,1,9,266.72,12.2794,9.69567,4.2,16.3701,1,13.8302,3.28,1.8
35,3,591.557,3,645.028,1,2,9,266.587,12.2794,9.6261,4.2,16.3701,1,13.8302,3.852,1.8
36,3,591.557,3,591.557,2,0,13,266.453,12.2794,9.6261,5.08,16.3701,2.2,13.8302,3.852,1.8
37,3,591.557,3,591.557,3,1,13,266.32,12.2794,9.6261,5.08,16.0331,2.2,13.7472,3.852,1.8
38,3,591.557,3,591.557,3,1,13,266.187,12.2794,9.6261,5.08,15.7298,2.2,13.6725,3.852,1.8
39,3,591.557,3,591.557,1,2,0,266.054,12.2794,8.66349,5.08,15.7298,2.2,13.6725,3.4668,1.8
40,3,591.557,3,591.557,1,3,13,265.921,12.2794,9.09714,5.08,15.7298,2.2,13.6725,3.4668,2.92
41,3,591.557,3,591.557,1,1,13,265.788,12.2794,9.48743,5.08,15.7298,2.2,13.6052,3.4668,2.92
42,3,591.557,3,591.557,0,1,13,265.655,12.3514,9.48743,5.08,15.7298,2.2,13.5447,3.4668,2.92
43,3,591.557,3,591.557,3,1,13,265.522,12.3514,9.48743,5.08,15.4568,2.2,13.4902,3.4668,2.92
44,3,591.557,3,591.557,1,1,13,265.389,12.3514,9.83868,5.08,15.4568,2.2,13.4412,3.4668,2.92
45,3,591.557,3,591.557,2,1,13,265.257,12.3514,9.83868,5.872,15.4568,2.2,13.3971,3.4668,2.92
46,3,591.557,3,627.994,1,1,9,265.124,12.3514,9.75482,5.872,15.4568,2.2,12.9574,3.4668,2.92
47,3,591.557,3,591.557,2,1,13,264.992,12.3514,9.75482,6.5848,15.4568,2.2,12.9616,3.4668,2.92
48,3,591.557,3,591.557,2,3,13,264.859,12.3514,9.75482,7.22632,15.4568,2.2,12.9616,3.4668,3.928
49,3,591.557,3,591.557,3,3,13,264.727,12.3514,9.75482,7.22632,15.2111,2.2,12.9616,3.4668,4.8352
50,3,591.557,3,591.557,1,0,13,264.594,12.3514,10.0793,7.22632,15.2111,3.28,12.9616,3.4668,4.8352
51,3,591.557,3,624.394,1,2,9,264.462,12.3514,9.9714,7.22632,15.2111,3.28,12.9616,4.02012,4.8352
52,3,591.557,3,591.557,2,2,13,264.33,12.3514,9.9714,7.80369,15.2111,3.28,12.9616,4.91811,4.8352
53,3,591.557,3,591.557,0,1,13,264.198,12.4163,9.9714,7.80369,15.2111,3.28,12.9655,4.91811,4.8352
54,3,591.557,3,627.994,1,2,9,264.065,12.4163,9.87426,7.80369,15.2111,3.28,12.9655,5.3263,4.8352
55,3,591.557,3,627.994,3,2,9,263.933,12.4163,9.87426,7.80369,14.59,3.28,12.9655,5.69367,4.8352
56,3,591.557,3,627.994,1,1,9,263.801,12.4163,9.78683,7.80369,14.59,3.28,12.5689,5.69367,4.8352
57,3,591.557,3,627.994,3,3,9,263.67,12.4163,9.78683,7.80369,14.031,3.28,12.5689,5.69367,5.25168
58,3,591.557,3,627.994,0,1,9,263.538,12.0747,9.78683,7.80369,14.031,3.28,12.212,5.69367,5.25168
59,3,591.557,3,627.994,1,1,9,263.406,12.0747,9.70815,7.80369,14.031,3.28,11.8908,5.69367,5.25168
60,3,591.557,3,621.51,2,0,13,263.274,12.0747,9.70815,8.32332,14.031,4.252,11.8908,5.69367,5.25168
61,3,591.557,3,621.51,3,2,9,263.143,12.0747,9.70815,8.32332,13.5279,4.252,11.8908,6.0243,5.25168
62,3,591.557,3,627.994,1,1,9,263.011,12.0747,9.63734,8.32332,13.5279,4.252,11.6017,6.0243,5.25168
63,3,591.557,3,625.709,2,2,13,262.88,12.0747,9.63734,8.79099,13.5279,4.252,11.6017,6.72187,5.25168
64,3,591.557,3,591.557,2,1,13,262.748,12.0747,9.63734,9.21189,13.5279,4.252,11.7416,6.72187,5.25168
65,3,591.557,3,591.557,2,3,13,262.617,12.0747,9.63734,9.5907,13.5279,4.252,11.7416,6.72187,6.02651
66,3,591.557,3,595.117,1,3,9,262.485,12.0747,9.5736,9.5907,13.5279,4.252,11.7416,6.72187,6.32386
67,3,591.557,3,591.557,3,1,13,262.354,12.0747,9.5736,9.5907,13.4751,4.252,11.8674,6.72187,6.32386
