iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,8,1382.62,8,1382.62,3,1,33,211.727,1,1,1,4.2,1,4.2,1,1
1,7,1302.11,7,1302.11,0,1,33,211.621,4.2,1,1,4.2,1,7.08,1,1
2,7,1284.89,7,1284.89,3,2,33,211.515,4.2,1,1,7.08,1,7.08,4.2,1
3,7,1261.31,7,1261.31,3,1,33,211.409,4.2,1,1,9.672,1,9.672,4.2,1
4,7,1189.11,7,1189.11,2,2,33,211.304,4.2,1,4.2,9.672,1,9.672,7.08,1
5,7,1144.32,7,1144.32,2,2,33,211.198,4.2,1,7.08,9.672,1,9.672,9.672,1
6,7,1144.32,7,1152.14,3,2,9,211.092,4.2,1,7.08,9.6048,1,9.672,9.6048,1
7,7,1141.74,7,1141.74,0,1,33,210.987,7.08,1,7.08,9.6048,1,12.0048,9.6048,1
8,7,1134.58,7,1134.58,2,2,33,210.881,7.08,1,9.672,9.6048,1,12.0048,11.9443,1
9,7,1131.48,7,1131.48,3,1,33,210.776,7.08,1,9.672,11.9443,1,14.1043,11.9443,1
10,7,1127.06,7,1127.06,3,2,33,210.67,7.08,1,9.672,14.0499,1,14.1043,14.0499,1
11,7,1103.28,7,1103.28,3,1,33,210.565,7.08,1,9.672,15.9449,1,15.9939,14.0499,1
12,7,1078.4,7,1078.4,3,2,33,210.46,7.08,1,9.672,17.6504,1,15.9939,15.9449,1
13,6,1063.27,6,1063.27,0,2,33,210.355,9.672,1,9.672,17.6504,1,15.9939,17.6504,1
14,6,1032.16,6,1032.16,2,2,33,210.249,9.672,1,12.0048,17.6504,1,15.9939,19.1854,1
15,6,1020.47,6,1020.47,3,2,33,210.144,9.672,1,12.0048,19.1854,1,15.9939,20.5668,1
16,6,1020.47,6,1020.47,2,2,13,210.039,9.672,1,12.1043,19.1854,1,15.9939,19.8101,1
17,6,1008.52,6,1008.52,0,2,33,209.934,12.0048,1,12.1043,19.1854,1,15.9939,21.1291,1
18,6,1008.52,6,1008.52,0,2,0,209.829,10.8043,1,12.1043,19.1854,1,15.9939,19.0162,1
19,6,1008.52,6,1008.52,2,1,0,209.724,10.8043,1,10.8939,19.1854,1,14.3945,19.0162,1
20,6,1008.52,6,1026.9,2,0,9,209.619,10.8043,1,10.7045,19.1854,1.8,14.3945,19.0162,1
21,6,1008.52,6,1026.9,3,0,9,209.515,10.8043,1,10.7045,18.1668,2.52,14.3945,19.0162,1
22,6,1008.52,6,1017.61,2,2,13,209.41,10.8043,1,10.934,18.1668,2.52,14.3945,18.4146,1
23,6,1008.52,6,1015.97,0,2,13,209.305,11.0239,1,10.934,18.1668,2.52,14.3945,17.8731,1
24,6,1008.52,6,1012.42,2,1,13,209.201,11.0239,1,11.1406,18.1668,2.52,14.255,17.8731,1
25,6,1008.52,6,1012.42,0,1,9,209.096,10.8215,1,11.1406,18.1668,2.52,13.7295,17.8731,1
26,6,1008.52,6,1012.42,2,2,9,208.991,10.8215,1,10.9266,18.1668,2.52,13.7295,16.9858,1
27,6,1006.56,6,1006.56,3,2,33,208.887,10.8215,1,10.9266,19.6501,2.52,13.7295,18.5872,1
28,6,1004.98,6,1004.98,0,1,33,208.782,13.0393,1,10.9266,19.6501,2.52,15.6566,18.5872,1
29,6,1004.98,6,1004.98,2,2,13,208.678,13.0393,1,11.1339,19.6501,2.52,15.6566,18.0285,1
30,6,1004.98,6,1004.98,0,1,13,208.574,13.0354,1,11.1339,19.6501,2.52,15.3909,18.0285,1
31,6,1004.98,6,1005.23,0,2,9,208.469,12.6319,1,11.1339,19.6501,2.52,15.3909,17.1257,1
32,6,1004.98,6,1016.59,0,1,9,208.365,12.2687,1,11.1339,19.6501,2.52,14.7518,17.1257,1
33,6,1004.98,6,1017.09,0,2,9,208.261,11.9418,1,11.1339,19.6501,2.52,14.7518,16.3131,1
34,6,1004.98,6,1019.42,3,1,9,208.157,11.9418,1,11.1339,18.5851,2.52,14.1767,16.3131,1
35,6,1004.98,6,1054.83,0,3,9,208.053,11.6476,1,11.1339,18.5851,2.52,14.1767,16.3131,1.8
36,6,1004.98,6,1039.94,3,2,13,207.949,11.6476,1,11.1339,18.0266,2.52,14.1767,15.9818,1.8
37,6,1004.98,6,1008.43,3,1,13,207.845,11.6476,1,11.1339,17.524,2.52,14.059,15.9818,1.8
38,5,1029.86,5,1029.86,0,1,33,207.741,13.7829,1,11.1339,17.524,2.52,15.9531,15.9818,1.8
39,5,1029.86,5,1050.06,0,1,9,207.637,13.3046,1,11.1339,17.524,2.52,15.2578,15.9818,1.8
40,5,1029.86,5,1032.94,2,1,13,207.533,13.3046,1,11.3205,17.524,2.52,15.032,15.9818,1.8
41,5,1029.86,5,1030.85,3,2,13,207.429,13.3046,1,11.3205,17.0716,2.52,15.032,15.6836,1.8
42,5,1029.86,5,1034.36,3,1,9,207.326,13.3046,1,11.3205,16.2644,2.52,14.4288,15.6836,1.8
43,5,1029.86,5,1182.44,2,0,9,207.222,13.3046,1,11.0885,16.2644,3.168,14.4288,15.6836,1.8
44,5,1029.86,5,1112.57,0,2,13,207.118,13.2741,1,11.0885,16.2644,3.168,14.4288,15.4152,1.8
45,5,1029.86,5,1088.97,2,0,13,207.015,13.2741,1,11.2796,16.2644,4.1512,14.4288,15.4152,1.8
46,5,1029.86,5,1079.31,3,1,13,206.911,13.2741,1,11.2796,15.938,4.1512,14.2859,15.4152,1.8
47,5,1029.86,5,1077.14,3,1,13,206.808,13.2741,1,11.2796,15.6442,4.1512,14.1573,15.4152,1.8
48,5,1029.86,5,1047.49,3,1,13,206.705,13.2741,1,11.2796,15.3798,4.1512,14.0416,15.4152,1.8
49,5,1029.86,5,1048.72,2,1,9,206.601,13.2741,1,11.0517,15.3798,4.1512,13.5374,15.4152,1.8
50,5,1029.86,5,1031.54,3,2,13,206.498,13.2741,1,11.0517,15.1418,4.1512,13.5374,15.1737,1.8
51,5,1011.78,5,1011.78,3,1,33,206.395,13.2741,1,11.0517,16.9276,4.1512,15.4837,15.1737,1.8
52,5,1011.61,5,1011.61,0,0,33,206.291,15.2467,1,11.0517,16.9276,7.03608,15.4837,15.1737,1.8
53,5,991.435,5,991.435,3,2,33,206.188,15.2467,1,11.0517,18.5348,7.03608,15.4837,16.9564,1.8
54,5,991.435,5,991.435,3,2,13,206.085,15.2467,1,11.0517,17.9814,7.03608,15.4837,16.5607,1.8
55,5,989.377,5,989.377,3,2,33,205.982,15.2467,1,11.0517,19.4832,7.03608,15.4837,18.2046,1.8
56,5,989.377,5,989.377,2,0,0,205.879,15.2467,1,9.9465,19.4832,6.33247,15.4837,18.2046,1.8
57,5,977.617,5,977.617,0,2,33,205.776,17.022,1,9.9465,19.4832,6.33247,15.4837,19.6842,1.8
58,5,977.617,5,977.617,3,1,13,205.673,17.022,1,9.9465,18.8349,6.33247,15.2353,19.6842,1.8
59,5,977.617,5,989.735,0,2,9,205.57,16.2198,1,9.9465,18.8349,6.33247,15.2353,18.6158,1.8
60,5,977.084,5,977.084,0,1,33,205.468,17.8979,1,9.9465,18.8349,6.33247,17.0118,18.6158,1.8
61,5,971.022,5,971.022,0,2,33,205.365,19.4081,1,9.9465,18.8349,6.33247,17.0118,20.0542,1.8
62,5,971.022,5,987.81,2,1,9,205.262,19.4081,1,9.85185,18.8349,6.33247,16.2106,20.0542,1.8
63,5,971.022,5,1017.37,0,1,9,205.16,18.3673,1,9.85185,18.8349,6.33247,15.4896,20.0542,1.8
64,5,971.022,5,1012.73,3,2,13,205.057,18.3673,1,9.85185,18.2514,6.33247,15.4896,19.3488,1.8
65,5,971.022,5,1023.79,3,2,9,204.955,18.3673,1,9.85185,17.3263,6.33247,15.4896,18.3139,1.8
66,5,971.022,5,1017.26,2,2,13,204.852,18.3673,1,10.1667,17.3263,6.33247,15.4896,17.7825,1.8
67,5,971.022,5,1014.27,0,1,13,204.75,17.8305,1,10.1667,17.3263,6.33247,15.2406,17.7825,1.8
68,5,971.022,5,998.824,3,2,13,204.647,17.8305,1,10.1667,16.8936,6.33247,15.2406,17.3043,1.8
