iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,20,2061.89,20,2061.89,0,2,33,305.738,4.2,1,1,1,1,1,4.2,1
1,19,1859.71,19,1859.71,2,2,33,305.585,4.2,1,4.2,1,1,1,7.08,1
2,16,1826.21,16,1826.21,0,3,33,305.433,7.08,1,4.2,1,1,1,7.08,4.2
3,16,1826.21,16,1843.33,0,2,9,305.28,7.272,1,4.2,1,1,1,7.272,4.2
4,16,1823.44,16,1823.44,2,1,33,305.127,7.272,1,7.08,1,1,4.2,7.272,4.2
5,15,1680.27,15,1680.27,0,2,33,304.975,9.8448,1,7.08,1,1,4.2,9.8448,4.2
6,15,1680.27,15,1680.27,0,3,0,304.822,8.86032,1,7.08,1,1,4.2,9.8448,3.78
7,15,1680.27,15,1870.07,1,0,9,304.67,8.86032,1.8,7.08,1,1.8,4.2,9.8448,3.78
8,15,1680.27,15,1903.55,1,0,9,304.517,8.86032,2.52,7.08,1,2.52,4.2,9.8448,3.78
9,15,1680.27,15,1903.55,0,0,0,304.365,7.97429,2.52,7.08,1,2.268,4.2,9.8448,3.78
10,15,1680.27,15,1903.55,0,2,0,304.213,7.17686,2.52,7.08,1,2.268,4.2,8.86032,3.78
11,15,1680.27,15,1721.16,0,2,13,304.061,7.75917,2.52,7.08,1,2.268,4.2,9.27429,3.78
12,15,1680.27,15,1689.64,0,2,13,303.909,8.28326,2.52,7.08,1,2.268,4.2,9.64686,3.78
13,15,1680.27,15,1689.64,0,3,0,303.757,7.45493,2.52,7.08,1,2.268,4.2,9.64686,3.402
14,14,1655.55,14,1655.55,2,0,33,303.605,7.45493,2.52,9.672,1,5.3412,4.2,9.64686,3.402
15,14,1655.55,14,1655.55,1,1,0,303.453,7.45493,2.268,9.672,1,5.3412,3.78,9.64686,3.402
16,14,1655.55,14,1655.55,0,1,0,303.301,6.70944,2.268,9.672,1,5.3412,3.402,9.64686,3.402
17,14,1655.55,14,1655.55,0,2,13,303.15,7.33849,2.268,9.672,1,5.3412,3.402,9.98217,3.402
18,14,1651.91,14,1651.91,0,2,33,302.998,9.90464,2.268,9.672,1,5.3412,3.402,12.284,3.402
19,14,1613.38,14,1613.38,2,2,33,302.847,9.90464,2.268,12.0048,1,5.3412,3.402,14.3556,3.402
20,14,1613.38,14,1613.38,2,3,0,302.695,9.90464,2.268,10.8043,1,5.3412,3.402,14.3556,3.0618
21,14,1613.38,14,1613.38,0,3,0,302.544,8.91418,2.268,10.8043,1,5.3412,3.402,14.3556,2.75562
22,14,1613.38,14,1613.38,1,0,0,302.393,8.91418,2.0412,10.8043,1,4.80708,3.402,14.3556,2.75562
23,14,1528.36,14,1528.36,2,2,33,302.242,8.91418,2.0412,13.0239,1,4.80708,3.402,16.22,2.75562
24,14,1528.36,14,1528.36,2,3,0,302.09,8.91418,2.0412,11.7215,1,4.80708,3.402,16.22,2.48006
25,14,1528.36,14,1528.36,0,0,0,301.939,8.02276,2.0412,11.7215,1,4.32637,3.402,16.22,2.48006
26,14,1513.81,14,1513.81,2,2,33,301.788,8.02276,2.0412,13.8493,1,4.32637,3.402,17.898,2.48006
27,14,1513.81,14,1513.81,1,1,0,301.638,8.02276,1.83708,13.8493,1,4.32637,3.0618,17.898,2.48006
28,14,1513.81,14,1617.47,0,2,9,301.487,8.12049,1.83708,13.8493,1,4.32637,3.0618,17.0082,2.48006
29,14,1513.81,14,1590.9,2,0,13,301.336,8.12049,1.83708,13.7644,1,5.19373,3.0618,17.0082,2.48006
30,14,1513.81,14,1550.2,2,2,13,301.185,8.12049,1.83708,13.688,1,5.19373,3.0618,16.6074,2.48006
31,14,1513.81,14,1583.83,2,0,9,301.035,8.12049,1.83708,13.2192,1,5.57436,3.0618,16.6074,2.48006
32,14,1513.81,14,1583.73,2,0,13,300.884,8.12049,1.83708,13.1973,1,6.31693,3.0618,16.6074,2.48006
33,14,1513.81,14,1586.92,0,0,9,300.734,8.20844,1.83708,13.1973,1,6.58523,3.0618,16.6074,2.48006
34,14,1513.81,14,1586.92,2,2,0,300.583,8.20844,1.83708,11.8775,1,6.58523,3.0618,14.9466,2.48006
35,14,1513.81,14,1576.03,0,2,13,300.433,8.68759,1.83708,11.8775,1,6.58523,3.0618,14.752,2.48006
36,14,1513.81,14,1576.03,1,2,0,300.283,8.68759,1.65337,11.8775,1,6.58523,3.0618,13.2768,2.48006
37,14,1513.81,14,1526.21,3,2,13,300.133,8.68759,1.65337,11.8775,2.2,6.58523,3.0618,13.2491,2.48006
38,14,1513.81,14,1526.11,0,2,13,299.983,9.11883,1.65337,11.8775,2.2,6.58523,3.0618,13.2242,2.48006
39,14,1513.81,14,1526.38,2,2,9,299.833,9.11883,1.65337,11.5898,2.2,6.58523,3.0618,12.8018,2.48006
40,14,1513.81,14,1609.32,0,0,9,299.683,9.10695,1.65337,11.5898,2.2,6.82671,3.0618,12.8018,2.48006
41,14,1513.81,14,1606.36,0,2,13,299.533,9.49626,1.65337,11.5898,2.2,6.82671,3.0618,12.8216,2.48006
42,14,1513.81,14,1606.36,3,2,0,299.383,9.49626,1.65337,11.5898,1.98,6.82671,3.0618,11.5394,2.48006
43,14,1513.81,14,1521.92,0,2,13,299.233,9.84663,1.65337,11.5898,1.98,6.82671,3.0618,11.6855,2.48006
44,14,1513.81,14,1521.92,1,2,0,299.084,9.84663,1.48803,11.5898,1.98,6.82671,3.0618,10.5169,2.48006
45,14,1513.81,14,1521.92,2,3,0,298.934,9.84663,1.48803,10.4308,1.98,6.82671,3.0618,10.5169,2.23205
46,14,1513.81,14,1521.92,2,0,0,298.785,9.84663,1.48803,9.38772,1.98,6.14404,3.0618,10.5169,2.23205
47,14,1513.81,14,1521.92,2,1,0,298.635,9.84663,1.48803,8.44895,1.98,6.14404,2.75562,10.5169,2.23205
48,14,1513.81,14,1543.7,1,3,9,298.486,9.84663,2.23923,8.44895,1.98,6.14404,2.75562,10.5169,2.90885
49,14,1513.81,14,1543.7,0,2,0,298.337,8.86197,2.23923,8.44895,1.98,6.14404,2.75562,9.46525,2.90885
50,14,1513.81,14,1544.44,0,2,9,298.188,8.87577,2.23923,8.44895,1.98,6.14404,2.75562,9.41872,2.90885
51,14,1513.81,14,1544.44,2,1,0,298.039,8.87577,2.23923,7.60405,1.98,6.14404,2.48006,9.41872,2.90885
52,14,1513.81,14,1579.62,0,1,9,297.89,8.88819,2.23923,7.60405,1.98,6.14404,3.13205,9.41872,2.90885
53,13,1511.02,13,1511.02,0,2,33,297.741,11.2994,2.23923,7.60405,1.98,6.14404,3.13205,11.7769,2.90885
54,13,1511.02,13,1511.02,2,2,0,297.592,11.2994,2.23923,6.84365,1.98,6.14404,3.13205,10.5992,2.90885
55,13,1489.11,13,1489.11,2,1,33,297.443,11.2994,2.23923,9.45928,1.98,6.14404,6.11885,10.5992,2.90885
56,13,1483.92,13,1483.92,2,2,33,297.294,11.2994,2.23923,11.8134,1.98,6.14404,6.11885,12.8393,2.90885
57,13,1483.92,13,1487.48,2,2,9,297.146,11.2994,2.23923,11.532,1.98,6.14404,6.11885,12.4553,2.90885
