iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,8,1242.41,8,1242.41,4,2,91.4587
1,6,1097.46,6,1097.46,1,2,91.4404
2,6,1021.74,6,1021.74,2,0,91.4221
3,5,964.349,5,964.349,1,1,91.4038
4,5,960.181,5,960.181,0,1,91.3856
5,5,916.488,5,916.488,3,0,91.3673
6,5,916.488,5,916.488,1,3,91.349
7,5,905.521,5,905.521,3,3,91.3307
8,5,905.521,5,933.943,2,3,91.3125
9,5,905.521,5,910.416,4,2,91.2942
10,5,905.521,5,910.416,1,0,91.2759
11,5,902.88,5,902.88,0,2,91.2577
12,5,902.88,5,902.88,0,0,91.2394
13,5,902.88,5,902.88,1,3,91.2212
14,5,889.577,5,889.577,3,1,91.2029
15,5,884.902,5,884.902,4,1,91.1847
16,5,884.902,5,887.987,2,1,91.1665
17,5,884.334,5,884.334,2,1,91.1482
18,5,879.237,5,879.237,4,2,91.13
19,5,879.237,5,879.237,3,1,91.1118
20,5,864.81,5,864.81,0,2,91.0936
21,5,863.613,5,863.613,4,2,91.0753
22,5,863.613,5,863.613,3,3,91.0571
23,5,863.613,5,863.613,2,0,91.0389
24,5,863.613,5,863.613,2,0,91.0207
25,4,1004.07,4,1004.07,1,0,91.0025
26,4,999.118,4,999.118,4,3,90.9843
27,4,999.118,4,1050.72,1,0,90.9661
28,4,999.118,4,1050.72,1,3,90.9479
29,4,999.118,4,1036.35,1,0,90.9297
30,4,960.455,4,960.455,3,2,90.9115
31,4,960.455,4,960.455,1,0,90.8933
32,4,960.455,4,960.455,0,2,90.8752
33,4,899.992,4,899.992,2,2,90.857
34,4,888.309,4,888.309,4,1,90.8388
35,4,883.053,4,883.053,0,3,90.8207
36,4,883.053,4,883.053,0,1,90.8025
37,4,851.869,4,851.869,2,2,90.7843
38,4,851.869,4,851.869,2,3,90.7662
39,4,851.869,4,851.869,3,0,90.748
40,4,847.884,4,847.884,2,3,90.7299
41,4,847.884,4,847.884,1,3,90.7117
42,4,844.604,4,844.604,2,1,90.6936
43,4,844.604,4,844.604,4,3,90.6754
44,4,844.604,4,884.732,1,3,90.6573
45,4,844.604,4,876.501,1,2,90.6392
46,4,844.604,4,984.478,1,0,90.6211
47,4,844.604,4,945.081,3,0,90.6029
48,4,844.604,4,898.953,3,3,90.5848
49,4,844.604,4,881.549,2,0,90.5667
50,4,844.604,4,847.214,4,3,90.5486
51,4,765.993,4,765.993,2,3,90.5305
52,4,765.993,4,765.993,3,3,90.5124
53,4,765.993,4,765.993,1,3,90.4943
54,4,761.337,4,761.337,0,2,90.4762
55,4,754.301,4,754.301,2,1,90.4581
56,4,725.737,4,725.737,3,2,90.44
57,4,712.599,4,712.599,2,2,90.4219
58,4,712.446,4,712.446,4,1,90.4038
59,4,712.446,4,712.446,1,0,90.3857
60,4,710.821,4,710.821,4,0,90.3676
61,4,708.744,4,708.744,2,2,90.3496
62,3,747.747,3,747.747,1,2,90.3315
63,3,747.747,3,747.747,4,0,90.3134
64,3,747.747,3,747.747,1,0,90.2954
65,3,747.747,3,747.747,3,3,90.2773
66,3,746.483,3,746.483,0,3,90.2593
67,3,746.483,3,746.483,3,3,90.2412
68,3,746.483,3,746.483,1,0,90.2232
69,3,746.483,3,746.708,0,3,90.2051
70,3,746.483,3,746.708,0,3,90.1871
71,3,746.483,3,746.708,1,0,90.169
72,3,746.483,3,746.708,1,0,90.151
73,3,746.483,3,746.708,3,3,90.133
74,3,746.483,3,746.708,0,0,90.1149
75,3,724.852,3,724.852,0,2,90.0969
76,3,724.852,3,724.852,3,1,90.0789
77,3,724.852,3,724.852,1,3,90.0609
78,3,676.225,3,676.225,2,1,90.0429
79,3,638.753,3,638.753,2,2,90.0249
80,3,638.753,3,638.753,1,3,90.0069
81,3,638.753,3,638.753,1,1,89.9889
82,3,638.753,3,638.753,0,2,89.9709
83,3,638.753,3,638.753,0,0,89.9529
84,3,638.753,3,638.753,4,2,89.9349
85,3,638.753,3,638.753,3,0,89.9169
86,3,638.753,3,638.753,2,1,89.8989
87,3,638.753,3,638.753,2,3,89.8809
88,3,638.753,3,638.753,1,3,89.8629
89,3,638.753,3,638.753,4,3,89.845
90,3,638.753,3,638.753,3,1,89.827
91,3,638.753,3,638.753,1,3,89.809
92,3,638.753,3,638.753,2,2,89.7911
93,3,638.753,3,638.753,0,1,89.7731
94,3,638.753,3,638.753,4,2,89.7552
95,3,638.753,3,638.753,0,0,89.7372
96,3,638.753,3,643.485,2,2,89.7193
97,3,638.753,3,643.485,4,3,89.7013
98,3,638.753,3,643.485,3,3,89.6834
99,3,638.753,3,643.485,4,2,89.6654
100,3,638.753,3,643.485,1,3,89.6475
