iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,15,1439.46,15,1439.46,0,2,108.589
1,15,1418.51,15,1418.51,2,1,108.568
2,15,1394.03,15,1394.03,4,0,108.546
3,15,1307.86,15,1307.86,2,0,108.524
4,15,1299.47,15,1299.47,0,3,108.502
5,14,1280.81,14,1280.81,0,0,108.481
6,14,1280.81,14,1286.43,3,0,108.459
7,14,1274.81,14,1274.81,3,3,108.437
8,14,1265.92,14,1265.92,4,1,108.416
9,14,1231.42,14,1231.42,2,1,108.394
10,14,1231.42,14,1231.5,2,1,108.372
11,13,1224.68,13,1224.68,4,2,108.351
12,13,1216.92,13,1216.92,3,0,108.329
13,13,1216.92,13,1218.38,0,2,108.307
14,12,1404.94,12,1404.94,1,2,108.286
15,12,1398.73,12,1398.73,0,1,108.264
16,12,1398.73,12,1398.73,0,0,108.242
17,12,1387.77,12,1387.77,4,1,108.221
18,12,1362.29,12,1362.29,4,3,108.199
19,12,1355.84,12,1355.84,4,1,108.177
20,12,1355.84,12,1355.84,1,2,108.156
21,12,1335.33,12,1335.33,0,1,108.134
22,12,1328.34,12,1328.34,4,1,108.113
23,12,1328.34,12,1365.97,0,0,108.091
24,12,1328.34,12,1354.78,4,2,108.069
25,12,1328.34,12,1342.92,4,2,108.048
26,12,1328.34,12,1374.27,1,0,108.026
27,12,1328.34,12,1341.04,2,2,108.004
28,12,1307.61,12,1307.61,4,3,107.983
29,12,1307.61,12,1307.61,2,0,107.961
30,12,1307.61,12,1308.61,3,1,107.94
31,12,1307.61,12,1335.07,2,3,107.918
32,12,1307.61,12,1335.07,1,1,107.897
33,12,1307.61,12,1348.75,1,3,107.875
34,11,1290.31,11,1290.31,2,1,107.853
35,11,1263.66,11,1263.66,4,1,107.832
36,11,1255.55,11,1255.55,0,1,107.81
37,11,1255.55,11,1263.72,4,3,107.789
38,11,1255.55,11,1268.93,4,3,107.767
39,11,1255.55,11,1267.04,3,1,107.746
40,11,1221.56,11,1221.56,2,1,107.724
41,11,1221.56,11,1261.21,1,2,107.702
42,11,1221.56,11,1259.49,4,1,107.681
43,11,1213.27,11,1213.27,2,1,107.659
44,11,1213.27,11,1213.27,2,2,107.638
45,11,1213.27,11,1230.84,1,0,107.616
46,11,1213.27,11,1230.84,3,3,107.595
47,11,1213.27,11,1225.93,4,0,107.573
