iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,9,1861.31,9,1861.31,0,3,142.906
1,9,1727.69,9,1727.69,2,0,142.878
2,9,1679.81,9,1679.81,3,2,142.849
3,9,1651.97,9,1651.97,0,1,142.82
4,9,1568.27,9,1568.27,4,3,142.792
5,8,1438.5,8,1438.5,1,2,142.763
6,8,1395.2,8,1395.2,0,3,142.735
7,8,1358.71,8,1358.71,0,2,142.706
8,6,1401.28,6,1401.28,1,1,142.678
9,5,1550.48,5,1550.48,1,0,142.649
10,5,1513.48,5,1513.48,0,2,142.621
11,5,1513.48,5,1520,3,3,142.592
12,5,1456.37,5,1456.37,3,1,142.564
13,5,1357.56,5,1357.56,2,3,142.535
14,5,1357.56,5,1404.36,0,3,142.507
15,5,1357.56,5,1360.8,2,1,142.478
16,5,1335.07,5,1335.07,4,2,142.45
17,5,1335.07,5,1335.07,1,2,142.421
18,5,1316.54,5,1316.54,2,0,142.393
19,5,1316.54,5,1346.94,1,0,142.364
20,5,1316.54,5,1344.12,0,2,142.336
21,5,1316.54,5,1348.77,0,0,142.307
22,5,1316.54,5,1475.37,1,3,142.279
23,5,1316.54,5,1400.07,2,3,142.25
24,5,1316.54,5,1394.68,3,0,142.222
25,4,1580.56,4,1580.56,1,2,142.193
26,4,1580.56,4,1580.56,1,1,142.165
27,4,1569.23,4,1569.23,3,2,142.137
28,4,1540.95,4,1540.95,2,3,142.108
29,4,1497.61,4,1497.61,0,3,142.08
30,4,1497.61,4,1497.61,1,3,142.051
31,4,1470.29,4,1470.29,1,2,142.023
32,4,1451.73,4,1451.73,3,3,141.994
33,4,1451.73,4,1498.51,2,3,141.966
34,4,1451.73,4,1567.49,4,0,141.938
35,4,1451.73,4,1567.49,1,0,141.909
36,4,1451.73,4,1568.33,4,0,141.881
37,4,1451.73,4,1602.67,3,0,141.853
38,4,1451.73,4,1731.37,1,1,141.824
39,4,1451.73,4,1731.37,1,3,141.796
40,4,1451.73,4,1770.14,1,0,141.767
41,4,1451.73,4,1770.14,2,3,141.739
42,4,1451.73,4,1694.1,1,2,141.711
43,4,1451.73,4,1705.23,3,2,141.682
44,4,1451.73,4,1705.23,0,1,141.654
45,4,1451.73,4,1694.9,0,2,141.626
46,4,1451.73,4,1694.9,1,3,141.597
47,4,1451.73,4,1672.93,4,2,141.569
48,4,1451.73,4,1672.93,2,3,141.541
49,4,1451.73,4,1672.93,2,3,141.512
50,4,1451.73,4,1672.93,2,1,141.484
51,4,1451.73,4,1634.36,4,1,141.456
52,4,1451.73,4,1556.84,1,3,141.428
53,4,1451.73,4,1556.84,4,0,141.399
54,4,1451.73,4,1517.32,2,3,141.371
55,4,1451.73,4,1517.32,1,1,141.343
56,4,1451.73,4,1526.79,4,0,141.314
57,4,1451.73,4,1517.08,3,3,141.286
58,4,1451.73,4,1481.47,1,2,141.258
59,4,1451.73,4,1479.8,0,0,141.23
60,4,1451.73,4,1520.93,1,2,141.201
61,4,1451.73,4,1520.93,1,1,141.173
62,4,1451.73,4,1541.38,4,0,141.145
63,4,1451.73,4,1577.13,0,0,141.117
64,4,1451.73,4,1577.13,1,2,141.088
65,4,1451.73,4,1486.95,2,1,141.06
66,4,1451.73,4,1486.95,2,1,141.032
67,4,1451.73,4,1464.79,3,1,141.004
68,4,1451.73,4,1458.44,4,1,140.976
69,4,1451.73,4,1458.44,2,1,140.947
70,4,1451.73,4,1458.44,2,0,140.919
71,4,1442.23,4,1442.23,4,1,140.891
72,4,1385.47,4,1385.47,3,0,140.863
73,4,1385.47,4,1432.49,1,3,140.835
74,4,1385.47,4,1417.54,3,3,140.807
75,4,1385.47,4,1413.96,3,1,140.778
76,4,1385.47,4,1413.96,1,2,140.75
77,4,1385.47,4,1402.34,3,3,140.722
78,4,1385.47,4,1402.34,0,0,140.694
79,4,1384.79,4,1384.79,4,3,140.666
80,4,1364.57,4,1364.57,0,1,140.638
81,4,1364.57,4,1370.16,2,0,140.61
82,4,1364.57,4,1594.4,1,2,140.581
83,4,1364.57,4,1570.33,0,2,140.553
84,4,1364.57,4,1570.33,3,3,140.525
85,4,1364.57,4,1509.96,2,3,140.497
86,4,1364.57,4,1493.22,1,2,140.469
87,4,1338.55,4,1338.55,2,0,140.441
88,4,1306.62,4,1306.62,3,1,140.413
89,4,1306.62,4,1306.62,1,1,140.385
90,4,1285.83,4,1285.83,4,3,140.357
91,4,1281.6,4,1281.6,4,0,140.329
92,4,1281.6,4,1285.38,4,2,140.301
93,4,1266.55,4,1266.55,2,2,140.272
94,4,1266.55,4,1266.55,1,3,140.244
95,4,1266.55,4,1271.21,2,0,140.216
96,4,1266.55,4,1267.87,4,3,140.188
97,4,1263.77,4,1263.77,3,0,140.16
98,4,1259.86,4,1259.86,2,1,140.132
99,4,1248.44,4,1248.44,0,0,140.104
100,4,1246.33,4,1246.33,3,1,140.076
101,4,1244.24,4,1244.24,3,2,140.048
102,4,1240.32,4,1240.32,3,2,140.02
103,4,1240.32,4,1240.32,4,1,139.992
104,4,1240.32,4,1240.32,3,2,139.964
105,4,1240.32,4,1240.32,1,1,139.936
106,4,1240.32,4,1244.03,2,1,139.908
107,4,1240.32,4,1244.03,1,2,139.88
108,4,1240.32,4,1243.01,3,0,139.852
109,4,1240.32,4,1243.01,4,1,139.824
110,4,1240.32,4,1243.01,1,0,139.796
111,4,1240.32,4,1242.6,3,0,139.768
112,4,1240.32,4,1242.6,1,2,139.74
113,4,1240.32,4,1242.6,4,3,139.712
114,4,1240.32,4,1242.1,2,1,139.684
115,4,1238.65,4,1238.65,2,1,139.657
116,4,1233.88,4,1233.88,4,3,139.629
117,4,1233.88,4,1233.88,1,0,139.601
118,4,1230.62,4,1230.62,3,0,139.573
119,4,1225.28,4,1225.28,3,0,139.545
120,4,1225.28,4,1284.89,1,3,139.517
121,4,1225.28,4,1541,1,2,139.489
122,4,1225.28,4,1541,1,1,139.461
123,4,1225.28,4,1541,1,3,139.433
124,4,1225.28,4,1541,2,3,139.405
125,4,1225.28,4,1535.53,4,1,139.377
126,4,1225.28,4,1643.13,1,0,139.35
127,4,1225.28,4,1525.45,2,0,139.322
128,4,1225.28,4,1525.45,3,3,139.294
129,4,1225.28,4,1533.89,3,2,139.266
130,4,1225.28,4,1662.46,1,2,139.238
131,4,1225.28,4,1659.35,3,3,139.21
132,4,1225.28,4,1659.35,1,0,139.182
133,4,1225.28,4,1627.59,4,0,139.155
134,4,1225.28,4,1601.25,4,2,139.127
135,4,1225.28,4,1601.25,1,2,139.099
