iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,21,1785.77,21,1785.77,3,1,33,15283.2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,19,1589.44,19,1589.44,3,2,33,15275.6,0.202632,0.202632,0.202632,0.392103,0.202632,0.392103,0.202632,0.202632
2,13,1552.27,13,1552.27,1,2,33,15268,0.149337,0.149337,0.149337,0.551989,0.167348,0.323869,0.341436,0.167348
3,13,1552.27,13,1586.23,1,3,9,15260.3,0.12745,0.273889,0.12745,0.471211,0.127726,0.247221,0.497327,0.127726
4,13,1552.27,13,1769.43,1,1,9,15252.7,0.11983,0.317185,0.11983,0.443155,0.122466,0.237071,0.476974,0.163489
5,13,1552.27,13,1809.53,1,2,9,15245.1,0.112454,0.359106,0.112454,0.415986,0.115602,0.2797,0.450363,0.154335
6,13,1552.27,13,1809.53,2,2,0,15237.4,0.10547,0.39881,0.10547,0.390251,0.10757,0.260314,0.488496,0.14362
7,13,1552.27,13,1573.39,1,1,13,15229.8,0.104214,0.394165,0.115916,0.385705,0.109138,0.264155,0.480985,0.145722
8,13,1552.27,13,1699.56,1,2,9,15222.2,0.0943913,0.451172,0.104993,0.349444,0.100189,0.324356,0.441675,0.133781
9,13,1552.27,13,1688.37,1,1,13,15214.6,0.0879889,0.488311,0.0978738,0.325826,0.0934556,0.302629,0.479119,0.124797
10,12,1764,12,1764,1,1,33,15207,0.0782633,0.544791,0.0870575,0.289888,0.0853037,0.363308,0.43747,0.113918
11,12,1566.49,12,1566.49,2,1,33,15199.4,0.0532011,0.69051,0.0591804,0.197109,0.0640842,0.521575,0.328756,0.0855856
12,12,1566.49,12,1692.73,1,1,9,15191.8,0.0492362,0.639376,0.128921,0.182467,0.0442519,0.669557,0.227089,0.0591026
13,12,1566.49,12,1704.8,1,2,9,15184.2,0.0452283,0.668664,0.11845,0.167658,0.0405797,0.696907,0.208312,0.0542012
14,12,1566.49,12,1718.06,1,1,9,15176.6,0.0414658,0.696166,0.108617,0.153751,0.0383492,0.658976,0.25145,0.051225
15,12,1566.49,12,1705.65,3,1,13,15169,0.0379549,0.721836,0.0994397,0.14077,0.0352715,0.686255,0.231357,0.0471167
16,12,1566.49,12,1705.65,1,1,0,15161.4,0.0357191,0.679716,0.0936001,0.190965,0.0305712,0.727987,0.200601,0.0408402
17,12,1566.49,12,1693.29,1,1,13,15153.9,0.0371471,0.666827,0.0973607,0.198665,0.0319857,0.71532,0.209962,0.0427323
18,12,1566.49,12,1666.28,1,1,13,15146.3,0.0322798,0.710407,0.0846201,0.172693,0.0276232,0.754077,0.181394,0.0369062
19,12,1566.49,12,1716.46,1,1,9,15138.7,0.0278957,0.749674,0.0731416,0.149289,0.0237539,0.788464,0.156044,0.0317384
