iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
0,18,1692.56,18,1692.56,2,2,10,153.758,5
1,18,1648.03,18,1648.03,3,2,2.63082,153.727,4.9975
2,18,1433.68,18,1433.68,2,3,10,153.696,4.995
3,17,1394.7,17,1394.7,0,0,10,153.666,4.9925
4,17,1390.92,17,1390.92,3,3,0.270886,153.635,4.99001
5,17,1278.61,17,1278.61,2,2,8.07493,153.604,4.98751
6,17,1270.95,17,1270.95,0,2,0.598327,153.573,4.98502
7,17,1270.95,17,1296.91,0,3,-2.0421,153.543,4.98253
8,17,1270.95,17,1291.67,4,3,0.404001,153.512,4.98003
9,17,1238.36,17,1238.36,0,1,4.1275,153.481,4.97754
10,17,1238.36,17,1238.36,4,2,0,153.451,4.97506
11,17,1238.12,17,1238.12,0,3,0.0192042,153.42,4.97257
12,15,1173.96,15,1173.96,0,1,10,153.389,4.97008
13,15,1146.7,15,1146.7,2,1,2.32205,153.359,4.9676
14,15,1145.62,15,1145.62,4,2,0.0943918,153.328,4.96511
15,15,1145.62,15,1145.62,4,1,0,153.297,4.96263
16,15,1144.22,15,1144.22,0,1,0.122115,153.267,4.96015
17,15,1139.45,15,1139.45,4,1,0.416981,153.236,4.95767
18,15,1117.28,15,1117.28,2,0,1.94511,153.205,4.95519
19,13,1123.37,13,1123.37,1,1,10,153.175,4.95271
20,13,1110.48,13,1110.48,0,0,1.14739,153.144,4.95024
21,13,1110.48,13,1110.48,3,0,0,153.113,4.94776
22,13,1109.42,13,1109.42,3,2,0.0956867,153.083,4.94529
23,13,1075.48,13,1075.48,2,1,3.05935,153.052,4.94282
24,13,1075.48,13,1075.48,3,1,0,153.022,4.94034
25,13,1075.48,13,1075.48,4,2,0,152.991,4.93787
26,11,1204.59,11,1204.59,1,0,10,152.96,4.9354
27,11,1201.66,11,1201.66,3,2,0.243019,152.93,4.93294
28,11,1167.21,11,1167.21,2,2,2.8667,152.899,4.93047
29,11,1167.21,11,1169.52,1,0,-0.197535,152.869,4.92801
30,11,1167.21,11,1168.94,1,3,0.0497521,152.838,4.92554
31,11,1167.21,11,1168.94,0,3,0,152.807,4.92308
32,11,1167.21,11,1256.97,1,2,-7.53094,152.777,4.92062
33,11,1167.21,11,1256.97,4,3,-10,152.746,4.91816
34,11,1167.21,11,1256.97,1,3,-10,152.716,4.9157
35,11,1167.21,11,1251.6,4,3,0.427024,152.685,4.91324
36,11,1167.21,11,1237.75,3,1,1.10655,152.655,4.91078
37,11,1167.21,11,1359.3,1,0,-9.82028,152.624,4.90833
38,11,1167.21,11,1284.35,4,0,5.51384,152.594,4.90587
39,11,1167.21,11,1276.31,4,1,0.62584,152.563,4.90342
40,11,1167.21,11,1286.7,2,1,-0.813668,152.533,4.90097
41,11,1167.21,11,1286.7,1,0,-8.48225,152.502,4.89852
42,11,1155.13,11,1155.13,2,1,10,152.472,4.89607
43,11,1155.13,11,1155.51,0,0,-0.0327746,152.441,4.89362
44,11,1152.57,11,1152.57,3,3,0.254787,152.411,4.89117
45,11,1149.52,11,1149.52,0,1,0.264023,152.38,4.88873
46,11,1149.52,11,1149.52,1,0,-6.60056,152.35,4.88628
47,11,1101.34,11,1101.34,2,1,4.19162,152.319,4.88384
48,11,1099.74,11,1099.74,4,3,0.145641,152.289,4.8814
49,11,1099.74,11,1099.74,4,1,0,152.258,4.87896
50,11,1099.74,11,1099.74,4,3,0,152.228,4.87652
51,11,1095.81,11,1095.81,4,0,0.356953,152.197,4.87408
52,11,1095.81,11,1095.81,4,1,0,152.167,4.87164
53,11,1095.81,11,1130.44,0,3,-3.15999,152.136,4.86921
54,11,1095.81,11,1130.44,0,0,0,152.106,4.86677
55,11,1095.81,11,1130.44,0,3,-10,152.076,4.86434
56,11,1095.81,11,1130.44,1,2,-10,152.045,4.86191
57,11,1095.81,11,1155.08,1,3,-2.18009,152.015,4.85948
58,11,1095.81,11,1150.12,4,1,0.43001,151.984,4.85705
59,11,1095.81,11,1150.12,3,3,0,151.954,4.85462
60,11,1095.81,11,1125.03,0,2,2.18101,151.924,4.85219
61,11,1095.81,11,1124.24,4,1,0.0705925,151.893,4.84977
62,11,1095.81,11,1124.24,3,2,0,151.863,4.84734
63,11,1095.81,11,1119.68,2,3,0.405243,151.832,4.84492
64,11,1095.81,11,1117.01,4,1,0.238883,151.802,4.84249
65,11,1095.81,11,1117.01,3,2,0,151.772,4.84007
66,11,1095.81,11,1117.01,4,3,0,151.741,4.83765
