iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,d_weight_4,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,31,2305.02,31,2305.02,1,2,20,189.227,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25
1,26,2172.66,26,2172.66,1,1,20,189.189,0.196301,0.214797,0.196301,0.196301,0.196301,0.244247,0.244247,0.26726,0.244247
2,26,2172.66,26,2172.66,0,3,0,189.151,0.192443,0.23023,0.192443,0.192443,0.192443,0.238521,0.26195,0.261007,0.238521
3,25,2222.28,25,2222.28,1,2,20,189.114,0.191998,0.230371,0.192544,0.192544,0.192544,0.238872,0.262347,0.261402,0.23738
4,25,2222.28,25,2222.28,2,3,0,189.076,0.187991,0.246431,0.188526,0.188526,0.188526,0.233164,0.256091,0.279038,0.231707
5,25,2213.8,25,2213.8,4,1,10,189.038,0.18796,0.246423,0.188626,0.188495,0.188495,0.233292,0.256243,0.279216,0.231249
6,22,2060.5,22,2060.5,1,2,20,189,0.186124,0.244049,0.186784,0.186654,0.19639,0.23071,0.264452,0.27615,0.228689
7,22,2035.63,22,2035.63,3,3,10,188.962,0.182047,0.260601,0.182693,0.182566,0.192093,0.22495,0.257868,0.294203,0.222979
8,22,2035.63,22,2051.52,3,2,2,188.925,0.180198,0.258001,0.180838,0.190816,0.190148,0.222326,0.254877,0.29081,0.231987
9,22,2035.63,22,2051.52,4,0,0,188.887,0.17979,0.257463,0.180429,0.192596,0.189722,0.222486,0.255078,0.290277,0.232158
10,21,2083.12,21,2083.12,1,3,20,188.849,0.179723,0.257413,0.180362,0.192531,0.189971,0.222575,0.255046,0.29026,0.232118
11,21,2083.12,21,2083.12,1,2,0,188.811,0.175607,0.274409,0.176231,0.188128,0.185625,0.217312,0.249032,0.283433,0.250223
12,21,2083.12,21,2083.69,1,2,2,188.773,0.17629,0.271573,0.176917,0.188867,0.186353,0.218078,0.249926,0.280873,0.251123
13,21,2083.12,21,2125.27,1,3,2,188.736,0.176483,0.270764,0.177111,0.18908,0.186562,0.218218,0.250104,0.280377,0.251302
14,20,2076.74,20,2076.74,1,1,20,188.698,0.176674,0.269964,0.177303,0.189291,0.186769,0.21804,0.249917,0.280183,0.25186
15,20,2076.74,20,2076.74,4,0,0,188.66,0.172456,0.287379,0.173071,0.184778,0.182316,0.21279,0.267925,0.273472,0.245813
16,20,2034.22,20,2034.22,4,2,10,188.622,0.172202,0.287029,0.172816,0.184512,0.183441,0.212765,0.267936,0.273486,0.245813
17,20,2034.22,20,2073.15,1,1,2,188.585,0.170333,0.283986,0.17094,0.182516,0.192225,0.210528,0.265149,0.281077,0.243246
18,20,2015.8,20,2015.8,2,1,10,188.547,0.170563,0.283,0.171172,0.182769,0.192497,0.210508,0.265161,0.281091,0.24324
19,20,2015.8,20,2015.8,4,3,0,188.509,0.168747,0.280057,0.17991,0.180829,0.190458,0.208213,0.273114,0.278067,0.240606
20,20,2015.8,20,2019.05,3,3,2,188.472,0.168597,0.27988,0.179757,0.180675,0.191092,0.208481,0.273504,0.278466,0.239549
21,20,2015.8,20,2019.05,2,3,0,188.434,0.168065,0.279067,0.179195,0.183172,0.190501,0.20823,0.273211,0.278171,0.240388
22,20,2015.46,20,2015.46,0,1,10,188.396,0.167838,0.27876,0.180216,0.182932,0.190255,0.208496,0.273597,0.278566,0.239341
23,20,1977.69,20,1977.69,1,1,10,188.359,0.176484,0.275901,0.178329,0.181018,0.188268,0.206263,0.281318,0.275623,0.236795
24,20,1931.29,20,1931.29,2,1,10,188.321,0.174733,0.283079,0.17656,0.179223,0.186405,0.204057,0.288951,0.272714,0.234278
25,20,1895.29,20,1895.29,4,0,10,188.283,0.172874,0.280135,0.185245,0.177319,0.184428,0.201836,0.296636,0.269785,0.231744
26,20,1895.29,20,1895.29,2,3,0,188.246,0.171042,0.277233,0.183289,0.175442,0.192995,0.210972,0.293256,0.266698,0.229074
27,20,1895.29,20,1904.38,1,1,2,188.208,0.170865,0.277014,0.184051,0.175263,0.192807,0.211033,0.293388,0.266805,0.228774
28,20,1895.29,20,1948.68,1,2,2,188.17,0.171106,0.275973,0.184318,0.175512,0.193091,0.211253,0.29261,0.267115,0.229022
29,20,1895.29,20,1924.24,4,0,5,188.133,0.171344,0.274944,0.184581,0.175759,0.193371,0.211193,0.292574,0.267267,0.228966
30,20,1895.29,20,1910.07,3,1,5,188.095,0.17041,0.27351,0.183582,0.174803,0.197695,0.215826,0.290871,0.265698,0.227605
31,20,1893.69,20,1893.69,4,2,10,188.057,0.169422,0.271989,0.182525,0.1795,0.196564,0.215092,0.29325,0.264822,0.226836
32,20,1893.69,20,1909.25,1,1,2,188.02,0.167663,0.269228,0.180636,0.177641,0.204833,0.212671,0.289994,0.273047,0.224289
33,20,1869.78,20,1869.78,4,1,10,187.982,0.167886,0.26822,0.180883,0.177883,0.205127,0.212896,0.289202,0.27337,0.224532
34,20,1849.53,20,1849.53,2,2,10,187.945,0.166165,0.265532,0.179035,0.176064,0.213205,0.210596,0.296841,0.270451,0.222113
35,20,1849.53,20,1849.53,1,1,0,187.907,0.164478,0.262899,0.187274,0.174282,0.211067,0.208215,0.293535,0.278642,0.219607
36,20,1849.53,20,1849.53,3,1,5,187.869,0.165127,0.259948,0.188024,0.174974,0.211926,0.209076,0.290567,0.279836,0.220522
37,20,1849.53,20,1849.53,1,3,0,187.832,0.164236,0.258605,0.187022,0.179328,0.210809,0.208378,0.292889,0.278942,0.219791
38,20,1849.53,20,1849.53,2,3,0,187.794,0.164867,0.25571,0.187753,0.180025,0.211645,0.208362,0.292916,0.278961,0.219762
39,20,1849.53,20,1849.53,2,0,0,187.757,0.164841,0.255726,0.187789,0.180005,0.211639,0.208345,0.292942,0.278979,0.219733
40,20,1849.53,20,1904.61,1,0,2,187.719,0.164816,0.255743,0.187822,0.179985,0.211633,0.208752,0.292806,0.278842,0.219599
41,20,1849.53,20,1855.35,3,0,5,187.682,0.165009,0.254826,0.188054,0.180204,0.211907,0.210832,0.29205,0.278116,0.219001
42,20,1849.53,20,1887.05,1,3,2,187.644,0.164161,0.253572,0.1871,0.184324,0.210844,0.215401,0.290374,0.276513,0.217712
43,20,1849.53,20,1908.57,2,0,2,187.607,0.164349,0.252667,0.187326,0.184546,0.211112,0.214907,0.289751,0.275913,0.219429
44,20,1849.53,20,1908.57,4,0,0,187.569,0.16402,0.252217,0.188858,0.184188,0.210716,0.216698,0.289104,0.27529,0.218908
45,20,1849.53,20,1903.53,3,2,5,187.532,0.164215,0.25257,0.189095,0.184417,0.209704,0.216669,0.289128,0.275307,0.218896
46,20,1849.53,20,1956.87,1,2,2,187.494,0.163398,0.251368,0.188168,0.18838,0.208687,0.215843,0.288068,0.278026,0.218063
47,20,1849.53,20,1865.34,4,2,5,187.457,0.163581,0.250475,0.188393,0.188605,0.208946,0.215976,0.288287,0.277539,0.218198
48,20,1849.53,20,1865.34,1,0,0,187.419,0.162891,0.249471,0.187611,0.187822,0.212205,0.215178,0.287264,0.280165,0.217394
49,20,1849.53,20,1865.06,4,2,5,187.382,0.163485,0.24668,0.188308,0.18852,0.213007,0.215149,0.287287,0.280184,0.217381
50,20,1849.53,20,1865.06,0,0,0,187.344,0.162837,0.245753,0.187575,0.187786,0.216049,0.214385,0.286308,0.282697,0.21661
51,20,1849.53,20,1865.06,1,0,0,187.307,0.163587,0.245552,0.187396,0.187607,0.215858,0.214356,0.28633,0.282717,0.216597
52,20,1849.53,20,1909.54,1,2,2,187.269,0.164169,0.242813,0.188075,0.188287,0.216656,0.214328,0.286352,0.282737,0.216583
53,20,1849.53,20,1909.54,1,1,0,187.232,0.164334,0.241998,0.188277,0.188489,0.216903,0.214532,0.286665,0.282013,0.21679
54,20,1849.53,20,1901.47,1,2,5,187.194,0.164903,0.239317,0.188941,0.189154,0.217684,0.215407,0.283715,0.283203,0.217675
55,20,1849.53,20,1886.61,4,2,5,187.157,0.164449,0.241354,0.188434,0.188647,0.217116,0.214695,0.282816,0.285532,0.216957
56,20,1849.53,20,1869.61,3,2,5,187.119,0.16385,0.240521,0.18776,0.187972,0.219896,0.21399,0.281927,0.287837,0.216246
57,20,1849.53,20,1869.61,3,3,0,187.082,0.163111,0.239482,0.186926,0.191545,0.218936,0.213288,0.281041,0.290132,0.215538
58,20,1849.53,20,1877.52,4,3,2,187.045,0.163206,0.239668,0.187048,0.190982,0.219096,0.213266,0.28105,0.290146,0.215539
59,20,1849.53,20,1873.99,1,0,5,187.007,0.163189,0.239689,0.187041,0.190976,0.219105,0.212768,0.280433,0.289514,0.217285
60,20,1849.53,20,1879.27,3,0,2,186.97,0.162741,0.241713,0.186541,0.190468,0.218537,0.217204,0.278861,0.287895,0.216039
61,20,1838.73,20,1838.73,3,2,10,186.932,0.162497,0.241397,0.186273,0.191593,0.21824,0.218828,0.278291,0.287311,0.21557
62,20,1837.73,20,1837.73,3,2,10,186.895,0.160956,0.239156,0.18452,0.199166,0.216203,0.216482,0.27534,0.294921,0.213257
63,20,1817.17,20,1817.17,3,1,10,186.858,0.159449,0.236963,0.182804,0.206574,0.21421,0.214122,0.272372,0.302576,0.210931
64,20,1817.17,20,1819.43,4,3,2,186.82,0.157977,0.234823,0.181129,0.213807,0.212264,0.21167,0.280653,0.299163,0.208514
65,20,1817.15,20,1817.15,0,2,10,186.783,0.157943,0.234819,0.181103,0.213793,0.212343,0.211082,0.279913,0.298384,0.210621
66,20,1817.15,20,1817.15,0,3,0,186.745,0.165592,0.232698,0.179444,0.211852,0.210414,0.208771,0.276888,0.306026,0.208315
67,20,1817.15,20,1880.91,1,1,2,186.708,0.165861,0.232635,0.179372,0.211785,0.210347,0.208607,0.276709,0.305843,0.208842
