iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
0,27,2201.85,27,2201.85,3,0,1.64181,161.481,5
1,26,2091.56,26,2091.56,0,3,10,161.449,4.9975
2,26,2069.43,26,2069.43,0,1,1.05801,161.416,4.995
3,26,2037.62,26,2037.62,3,3,1.53735,161.384,4.9925
4,26,2002.75,26,2002.75,3,2,1.71115,161.352,4.99001
5,26,1991.22,26,1991.22,4,2,0.575791,161.319,4.98751
6,26,1991.22,26,2000.5,3,1,-0.465951,161.287,4.98502
7,25,1833.38,25,1833.38,2,1,10,161.255,4.98253
8,22,1746.58,22,1746.58,1,0,10,161.223,4.98003
9,20,1688.65,20,1688.65,1,1,10,161.19,4.97754
10,19,1619.74,19,1619.74,2,3,10,161.158,4.97506
11,18,1658.38,18,1658.38,1,3,10,161.126,4.97257
12,18,1658.38,18,1683.94,3,0,-1.54115,161.094,4.97008
13,18,1602.67,18,1602.67,2,2,4.82631,161.062,4.9676
14,17,1663.02,17,1663.02,1,2,10,161.029,4.96511
15,17,1663.02,17,1663.02,0,3,0,160.997,4.96263
16,17,1663.02,17,1663.02,2,3,-10,160.965,4.96015
17,17,1663.02,17,1663.02,0,3,-10,160.933,4.95767
18,17,1663.02,17,1663.02,2,0,-10,160.901,4.95519
19,17,1663.02,17,1663.02,1,1,-6.67978,160.868,4.95271
20,17,1663.02,17,1663.02,1,2,-6.08596,160.836,4.95024
21,17,1663.02,17,1663.02,3,3,0,160.804,4.94776
22,17,1613.2,17,1613.2,2,2,2.99585,160.772,4.94529
23,17,1606.47,17,1606.47,4,2,0.417001,160.74,4.94282
24,17,1577.31,17,1577.31,2,3,1.81551,160.708,4.94034
25,17,1577.31,17,1579.33,4,0,-0.128201,160.675,4.93787
26,17,1577.31,17,1646.35,1,2,-4.24318,160.643,4.9354
27,16,1726.39,16,1726.39,1,2,10,160.611,4.93294
28,16,1715.96,16,1715.96,0,1,0.604211,160.579,4.93047
29,16,1715.96,16,1715.96,4,3,-10,160.547,4.92801
30,16,1684.2,16,1684.2,4,2,1.85058,160.515,4.92554
31,16,1680.26,16,1680.26,1,0,0.233953,160.483,4.92308
32,16,1641.79,16,1641.79,4,0,2.28969,160.451,4.92062
33,16,1638.3,16,1638.3,4,0,0.212276,160.419,4.91816
