iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
0,18,1830.25,18,1830.25,0,0,10,140.831,0.5
1,17,1703.87,17,1703.87,2,2,20,140.803,0.49975
2,17,1648.71,17,1648.71,2,1,10,140.774,0.4995
3,17,1636.13,17,1636.13,4,1,10,140.746,0.49925
4,17,1636.13,17,1668.25,0,0,2,140.718,0.499001
5,17,1620.74,17,1620.74,0,0,10,140.69,0.498751
6,17,1615.81,17,1615.81,4,2,10,140.662,0.498502
7,17,1582.88,17,1582.88,2,0,10,140.634,0.498253
8,17,1575.52,17,1575.52,0,0,10,140.606,0.498003
9,17,1574.11,17,1574.11,0,0,10,140.577,0.497754
10,17,1566.14,17,1566.14,0,0,10,140.549,0.497506
11,16,1541.43,16,1541.43,0,0,20,140.521,0.497257
12,16,1541.43,16,1622.14,2,0,2,140.493,0.497008
13,15,1719.52,15,1719.52,1,3,20,140.465,0.49676
14,15,1717.71,15,1717.71,0,0,10,140.437,0.496511
15,15,1689.86,15,1689.86,0,0,10,140.409,0.496263
16,15,1689.86,15,1689.86,0,0,0,140.381,0.496015
17,15,1689.86,15,1689.86,1,3,-2,140.353,0.495767
18,15,1689.86,15,1690.43,0,0,2,140.325,0.495519
19,15,1646.01,15,1646.01,0,0,10,140.297,0.495271
20,15,1638.24,15,1638.24,0,0,10,140.268,0.495024
21,15,1638.24,15,1638.24,1,0,0,140.24,0.494776
22,15,1638.24,15,1738.66,4,0,2,140.212,0.494529
23,14,1802.16,14,1802.16,1,1,20,140.184,0.494282
24,14,1720.71,14,1720.71,0,0,10,140.156,0.494034
25,14,1720.71,14,1720.71,1,3,0,140.128,0.493787
26,14,1710.76,14,1710.76,0,3,10,140.1,0.49354
27,14,1655.16,14,1655.16,0,0,10,140.072,0.493294
28,14,1655.16,14,1655.22,4,0,2,140.044,0.493047
29,14,1655.16,14,1655.22,2,3,-2,140.016,0.492801
30,14,1655.16,14,1656.53,4,1,2,139.988,0.492554
31,14,1655.16,14,1656.53,1,0,-2,139.96,0.492308
32,14,1549.27,14,1549.27,3,0,10,139.932,0.492062
33,14,1543.86,14,1543.86,0,2,10,139.904,0.491816
34,14,1539.8,14,1539.8,0,0,10,139.876,0.49157
35,14,1539.8,14,1539.8,0,0,-2,139.848,0.491324
36,14,1539.8,14,1539.8,1,0,0,139.82,0.491078
37,14,1539.8,14,1539.8,0,0,-2,139.792,0.490833
38,14,1522.92,14,1522.92,2,1,10,139.764,0.490587
39,14,1522.92,14,1525.57,2,0,2,139.736,0.490342
40,13,1603.53,13,1603.53,1,1,20,139.708,0.490097
41,13,1603.53,13,1603.53,1,0,-2,139.681,0.489852
42,13,1603.53,13,1603.53,1,1,-2,139.653,0.489607
43,13,1603.53,13,1603.53,0,0,-2,139.625,0.489362
44,13,1603.53,13,1603.53,2,2,-2,139.597,0.489117
45,13,1603.53,13,1603.53,0,0,-2,139.569,0.488873
46,13,1584.15,13,1584.15,0,2,10,139.541,0.488628
47,13,1584.15,13,1584.15,1,1,0,139.513,0.488384
48,13,1584.15,13,1584.15,0,0,-2,139.485,0.48814
49,13,1584.15,13,1584.15,0,2,-2,139.457,0.487896
50,13,1584.15,13,1584.15,0,0,5,139.429,0.487652
51,13,1539.45,13,1539.45,3,0,10,139.401,0.487408
52,13,1536.9,13,1536.9,0,0,10,139.374,0.487164
53,13,1536.9,13,1553.19,0,0,2,139.346,0.486921
54,13,1532.32,13,1532.32,4,3,10,139.318,0.486677
55,13,1532.32,13,1566.7,0,0,2,139.29,0.486434
56,13,1532.32,13,1566.7,3,0,-2,139.262,0.486191
57,13,1532.32,13,1566.7,0,0,-2,139.234,0.485948
58,13,1532.32,13,1566.7,0,3,-2,139.206,0.485705
59,13,1532.32,13,1572.18,3,3,2,139.179,0.485462
60,13,1532.32,13,1572.18,2,0,-2,139.151,0.485219
61,13,1532.32,13,1608.78,1,0,2,139.123,0.484977
62,13,1532.32,13,1600.82,1,3,5,139.095,0.484734
63,13,1532.32,13,1600.82,3,0,-2,139.067,0.484492
64,13,1532.32,13,1600.53,3,3,5,139.039,0.484249
65,13,1532.32,13,1600.53,1,3,-2,139.012,0.484007
66,13,1532.32,13,1600.53,0,0,-2,138.984,0.483765
67,13,1532.32,13,1600.53,2,0,-2,138.956,0.483523
68,13,1532.32,13,1580.18,2,0,5,138.928,0.483282
69,13,1532.32,13,1558.26,4,0,5,138.9,0.48304
70,13,1532.32,13,1558.26,1,2,-2,138.873,0.482798
71,13,1532.32,13,1558.26,1,1,-2,138.845,0.482557
72,13,1532.32,13,1558.26,1,0,-2,138.817,0.482316
73,13,1532.32,13,1542.2,0,0,5,138.789,0.482075
74,13,1532.32,13,1607.34,4,0,2,138.762,0.481834
75,13,1532.32,13,1612.26,0,0,2,138.734,0.481593
76,13,1532.32,13,1613.15,0,0,2,138.706,0.481352
77,13,1532.32,13,1613.15,1,3,-2,138.678,0.481111
78,13,1532.32,13,1613.15,1,0,-2,138.651,0.480871
79,13,1532.32,13,1579.22,4,2,5,138.623,0.48063
80,13,1532.32,13,1579.22,2,0,-2,138.595,0.48039
81,13,1532.32,13,1579.22,4,2,-2,138.567,0.48015
82,13,1532.32,13,1579.22,1,3,-2,138.54,0.47991
83,13,1532.32,13,1546.56,0,2,5,138.512,0.47967
84,13,1527.16,13,1527.16,0,2,10,138.484,0.47943
85,13,1523.11,13,1523.11,0,2,10,138.457,0.47919
86,13,1501.64,13,1501.64,0,2,10,138.429,0.478951
87,13,1446.37,13,1446.37,0,2,10,138.401,0.478711
88,13,1446.37,13,1446.37,0,3,-2,138.374,0.478472
89,13,1446.37,13,1446.37,0,2,-2,138.346,0.478232
90,13,1446.37,13,1446.37,0,0,5,138.318,0.477993
91,13,1446.37,13,1446.37,0,2,5,138.291,0.477754
92,13,1446.37,13,1446.37,0,2,-2,138.263,0.477515
93,13,1446.37,13,1446.37,0,2,0,138.235,0.477277
94,13,1407.65,13,1407.65,0,2,10,138.208,0.477038
95,13,1407.65,13,1407.65,0,2,5,138.18,0.4768
96,13,1407.65,13,1407.65,0,3,-2,138.152,0.476561
97,13,1407.65,13,1407.65,0,2,0,138.125,0.476323
98,13,1407.65,13,1407.65,0,2,5,138.097,0.476085
99,13,1405.12,13,1405.12,0,2,10,138.069,0.475847
100,13,1405.12,13,1405.12,0,3,0,138.042,0.475609
101,13,1405.12,13,1405.12,0,2,-2,138.014,0.475371
102,13,1405.12,13,1405.12,2,0,-2,137.987,0.475133
103,13,1405.12,13,1550.1,1,3,2,137.959,0.474896
104,13,1405.12,13,1534.73,0,0,5,137.931,0.474658
105,13,1405.12,13,1424.69,2,2,5,137.904,0.474421
106,13,1405.12,13,1424.69,1,3,0,137.876,0.474184
107,13,1405.12,13,1424.69,1,1,0,137.849,0.473947
108,13,1405.12,13,1424.69,1,1,-2,137.821,0.47371
109,13,1405.12,13,1424.69,2,2,-2,137.794,0.473473
110,13,1405.12,13,1417.6,2,2,5,137.766,0.473236
111,13,1405.12,13,1417.6,2,1,-2,137.738,0.472999
112,13,1405.12,13,1417.18,3,2,5,137.711,0.472763
113,13,1405.12,13,1416.22,4,1,5,137.683,0.472527
114,13,1405.12,13,1445.87,3,1,2,137.656,0.47229
115,13,1405.12,13,1445.87,1,2,-2,137.628,0.472054
116,13,1405.12,13,1426.48,4,1,5,137.601,0.471818
117,13,1405.12,13,1483.44,1,0,2,137.573,0.471582
118,13,1405.12,13,1472.89,4,1,5,137.546,0.471346
119,13,1405.12,13,1472.89,2,0,-2,137.518,0.471111
120,13,1405.12,13,1472.31,0,2,5,137.491,0.470875
121,13,1405.12,13,1450.02,0,2,5,137.463,0.47064
122,13,1405.12,13,1448.14,0,2,5,137.436,0.470404
123,13,1405.12,13,1494.94,3,0,2,137.408,0.470169
124,13,1405.12,13,1474.48,0,2,5,137.381,0.469934
125,13,1405.12,13,1523.15,1,0,2,137.353,0.469699
126,13,1405.12,13,1523.15,0,2,2,137.326,0.469464
127,13,1405.12,13,1523.15,0,2,2,137.298,0.46923
128,13,1405.12,13,1523.15,1,3,-2,137.271,0.468995
129,13,1405.12,13,1510.74,0,0,5,137.243,0.46876
130,13,1405.12,13,1510.74,0,0,-2,137.216,0.468526
131,13,1405.12,13,1505.26,4,0,5,137.189,0.468292
132,13,1405.12,13,1499.11,4,0,5,137.161,0.468058
133,13,1405.12,13,1495.43,4,0,5,137.134,0.467824
134,13,1405.12,13,1496.23,4,0,2,137.106,0.46759
135,13,1405.12,13,1485.49,3,0,5,137.079,0.467356
