iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,15,2155.66,15,2155.66,2,2,178.046
1,13,1992.38,13,1992.38,2,2,178.011
2,13,1946,13,1946,2,2,177.975
3,13,1864.53,13,1864.53,2,2,177.939
4,13,1860.08,13,1860.08,2,2,177.904
5,13,1784.88,13,1784.88,2,2,177.868
6,12,1756.07,12,1756.07,2,2,177.833
7,12,1756.07,12,1764.25,2,2,177.797
8,11,1745.89,11,1745.89,2,2,177.762
9,11,1726.11,11,1726.11,2,2,177.726
10,11,1721.46,11,1721.46,2,2,177.691
11,11,1715.9,11,1715.9,2,2,177.655
12,11,1678.91,11,1678.91,2,2,177.619
13,11,1666.66,11,1666.66,2,2,177.584
14,11,1665.44,11,1665.44,2,2,177.548
15,11,1644.75,11,1644.75,2,2,177.513
16,10,1620.15,10,1620.15,2,2,177.477
17,10,1620.15,10,1620.15,2,2,177.442
18,10,1615.96,10,1615.96,2,2,177.406
19,10,1598.52,10,1598.52,2,2,177.371
20,10,1594.93,10,1594.93,2,2,177.335
21,10,1587.98,10,1587.98,2,2,177.3
22,10,1569.83,10,1569.83,2,2,177.265
23,10,1558.26,10,1558.26,2,2,177.229
24,9,1541,9,1541,2,2,177.194
25,9,1541,9,1554.03,2,2,177.158
26,9,1541,9,1553.53,2,2,177.123
27,8,1609.87,8,1609.87,1,0,177.087
28,8,1609.61,8,1609.61,0,2,177.052
29,8,1609.61,8,1611.85,0,2,177.017
30,8,1609.61,8,1610.62,0,2,176.981
31,8,1609.61,8,1610.62,0,2,176.946
32,8,1568.74,8,1568.74,0,2,176.91
33,8,1568.74,8,1568.74,0,2,176.875
34,8,1554.22,8,1554.22,0,2,176.84
35,8,1552.48,8,1552.48,0,2,176.804
36,8,1552.48,8,1552.48,0,2,176.769
37,8,1552.44,8,1552.44,0,2,176.733
38,8,1537.18,8,1537.18,0,2,176.698
39,8,1537.18,8,1555.92,0,2,176.663
40,8,1537.18,8,1539.86,2,2,176.627
41,8,1537.18,8,1539.86,2,2,176.592
42,8,1537.18,8,1538.85,2,2,176.557
43,8,1537.18,8,1538.47,0,2,176.522
44,8,1537.18,8,1538.86,0,2,176.486
45,8,1537.18,8,1538.86,0,2,176.451
46,8,1537.18,8,1579.62,0,2,176.416
47,8,1537.18,8,1568.13,0,2,176.38
48,8,1537.18,8,1571.2,2,2,176.345
49,8,1537.18,8,1590.58,2,2,176.31
50,8,1537.18,8,1590.58,2,2,176.275
51,7,1584.92,7,1584.92,2,2,176.239
52,7,1573.82,7,1573.82,2,2,176.204
53,7,1573.82,7,1573.82,2,2,176.169
54,7,1563.21,7,1563.21,2,2,176.134
55,7,1551.53,7,1551.53,2,2,176.098
56,7,1551.53,7,1551.53,2,2,176.063
57,7,1551.53,7,1551.53,2,2,176.028
58,7,1550.89,7,1550.89,2,2,175.993
59,7,1546.85,7,1546.85,2,2,175.957
60,7,1546.85,7,1546.85,2,2,175.922
61,7,1545.64,7,1545.64,2,2,175.887
62,7,1545.64,7,1545.64,2,2,175.852
63,7,1521.22,7,1521.22,2,2,175.817
64,7,1489.02,7,1489.02,2,2,175.782
65,7,1470.57,7,1470.57,2,2,175.746
66,7,1464.65,7,1464.65,2,2,175.711
67,7,1464.65,7,1464.65,2,2,175.676
68,7,1464.65,7,1464.65,2,2,175.641
69,7,1464.65,7,1464.65,2,2,175.606
70,7,1464.65,7,1464.65,2,2,175.571
71,7,1464.65,7,1464.65,2,2,175.536
72,7,1463.57,7,1463.57,2,2,175.501
73,7,1463.57,7,1463.57,2,2,175.465
74,7,1463.4,7,1463.4,2,2,175.43
75,7,1450.25,7,1450.25,2,2,175.395
76,7,1450.25,7,1450.25,2,2,175.36
77,7,1450.25,7,1452.28,2,2,175.325
78,7,1442.89,7,1442.89,2,2,175.29
79,7,1442.89,7,1448.88,2,3,175.255
80,7,1442.89,7,1446.95,2,2,175.22
81,7,1442.89,7,1446.95,2,2,175.185
82,7,1442.72,7,1442.72,2,2,175.15
83,7,1434.97,7,1434.97,2,2,175.115
84,7,1434.97,7,1434.97,2,2,175.08
85,6,1447.16,6,1447.16,2,2,175.045
86,6,1422.16,6,1422.16,2,2,175.01
87,6,1422.16,6,1422.16,2,2,174.975
88,6,1422.16,6,1423.7,2,2,174.94
89,6,1422.16,6,1436.88,2,2,174.905
90,6,1422.16,6,1436.88,2,2,174.87
91,6,1422.16,6,1436.88,2,2,174.835
92,6,1422.16,6,1423.7,2,2,174.8
93,6,1422.16,6,1423.7,2,2,174.765
94,6,1422.16,6,1423.79,2,2,174.73
95,6,1422.16,6,1422.26,2,2,174.695
96,6,1422.16,6,1422.26,2,2,174.66
97,6,1422.16,6,1422.26,2,2,174.625
98,6,1422.16,6,1422.26,2,2,174.59
99,6,1422.16,6,1422.26,2,2,174.555
100,6,1422.16,6,1422.26,2,2,174.52
101,6,1422.16,6,1422.26,2,2,174.485
102,6,1422.16,6,1422.26,2,2,174.451
103,6,1422.16,6,1422.26,2,2,174.416
104,6,1422.16,6,1422.26,2,2,174.381
105,6,1422.16,6,1436.14,2,2,174.346
106,6,1422.16,6,1437.27,2,2,174.311
107,6,1422.16,6,1437.27,2,2,174.276
108,6,1422.16,6,1437.27,2,2,174.241
109,6,1422.16,6,1437.27,2,2,174.206
110,6,1422.16,6,1437.27,2,2,174.172
111,6,1422.16,6,1437.27,2,2,174.137
112,6,1422.16,6,1438.24,2,2,174.102
113,6,1422.16,6,1438.24,2,2,174.067
114,6,1422.16,6,1448.99,2,2,174.032
115,6,1422.16,6,1435.57,2,2,173.998
116,6,1422.16,6,1435.57,2,2,173.963
117,6,1422.16,6,1435.57,2,2,173.928
118,6,1422.16,6,1434.44,2,2,173.893
119,6,1422.16,6,1434.44,2,2,173.858
120,6,1422.16,6,1434.44,2,2,173.824
121,6,1422.16,6,1434.44,2,2,173.789
122,6,1422.16,6,1434.44,2,2,173.754
123,6,1422.16,6,1434.44,2,2,173.719
124,6,1422.16,6,1434.44,2,2,173.685
125,6,1422.16,6,1436.04,2,2,173.65
126,6,1422.16,6,1436.04,2,2,173.615
127,6,1422.16,6,1436.04,2,2,173.58
128,6,1422.16,6,1434.4,2,2,173.546
129,6,1422.16,6,1434.4,2,2,173.511
130,6,1422.16,6,1434.4,2,2,173.476
131,6,1422.16,6,1434.4,2,2,173.442
132,6,1422.16,6,1434.4,2,2,173.407
133,6,1422.16,6,1434.4,2,2,173.372
134,6,1422.16,6,1434.4,2,2,173.338
135,6,1422.16,6,1434.4,2,2,173.303
136,6,1422.16,6,1434.4,2,2,173.268
137,6,1422.16,6,1434.4,2,2,173.234
138,6,1422.16,6,1434.4,2,2,173.199
139,6,1422.16,6,1434.4,2,2,173.164
140,6,1422.16,6,1434.4,2,2,173.13
141,6,1422.16,6,1434.4,2,2,173.095
142,6,1422.16,6,1434.4,2,2,173.06
143,6,1422.16,6,1434.4,2,2,173.026
144,6,1422.16,6,1434.4,2,2,172.991
145,6,1422.16,6,1434.4,2,2,172.957
146,6,1422.16,6,1434.4,2,2,172.922
147,6,1422.16,6,1436.78,2,2,172.887
148,6,1422.16,6,1436.78,2,2,172.853
149,6,1422.16,6,1441.16,2,2,172.818
150,6,1422.16,6,1438.68,2,2,172.784
151,6,1422.16,6,1435.94,2,2,172.749
152,6,1422.16,6,1438.4,2,2,172.715
153,6,1422.16,6,1437.75,2,2,172.68
154,6,1422.16,6,1437.75,2,2,172.646
155,6,1422.16,6,1427.31,2,2,172.611
156,6,1422.16,6,1427.31,2,2,172.576
157,6,1422.16,6,1437.46,2,2,172.542
158,6,1422.16,6,1432.93,2,2,172.507
159,6,1422.16,6,1425.71,2,2,172.473
160,6,1422.16,6,1426.94,2,2,172.438
161,6,1422.16,6,1426.94,2,2,172.404
162,6,1422.16,6,1426.94,2,2,172.369
163,6,1422.16,6,1426.94,2,2,172.335
164,6,1422.16,6,1430.01,2,2,172.301
165,6,1422.16,6,1428.54,0,2,172.266
166,6,1422.16,6,1426.94,2,2,172.232
167,6,1422.16,6,1426.94,2,2,172.197
168,6,1422.16,6,1426.94,2,2,172.163
169,6,1422.16,6,1426.94,2,2,172.128
170,6,1422.16,6,1437.09,2,2,172.094
171,6,1422.16,6,1437.09,1,3,172.059
172,6,1422.16,6,1426.94,2,2,172.025
173,6,1422.16,6,1426.94,2,2,171.991
174,6,1422.16,6,1437.09,2,2,171.956
175,6,1422.16,6,1437.09,0,0,171.922
176,6,1422.16,6,1425.71,2,2,171.887
177,6,1422.16,6,1425.71,2,2,171.853
178,6,1422.16,6,1425.71,2,2,171.819
179,6,1422.16,6,1435.86,2,2,171.784
180,6,1422.16,6,1435.86,2,2,171.75
181,6,1422.16,6,1432.93,2,2,171.716
182,6,1422.16,6,1435.86,2,2,171.681
183,6,1422.16,6,1425.71,2,2,171.647
184,6,1422.16,6,1425.71,2,2,171.613
185,6,1422.16,6,1425.71,2,2,171.578
186,6,1422.16,6,1426.45,2,2,171.544
187,6,1422.16,6,1436.6,2,2,171.51
188,6,1422.16,6,1591.29,1,2,171.475
189,6,1422.16,6,1535.01,0,1,171.441
190,6,1422.16,6,1535.01,0,2,171.407
191,6,1422.16,6,1514.04,0,2,171.373
192,6,1422.16,6,1514.04,0,2,171.338
193,6,1422.16,6,1514.04,0,2,171.304
194,6,1422.16,6,1511.35,0,2,171.27
195,6,1422.16,6,1511.35,0,2,171.235
196,6,1422.16,6,1482.29,0,2,171.201
197,6,1422.16,6,1481.55,0,2,171.167
198,6,1422.16,6,1481.55,0,2,171.133
199,6,1422.16,6,1481.55,0,2,171.099
200,6,1422.16,6,1471.49,0,2,171.064
201,6,1422.16,6,1464.61,2,2,171.03
202,6,1422.16,6,1464.61,2,2,170.996
203,6,1422.16,6,1464.61,2,2,170.962
204,6,1422.16,6,1464.61,2,2,170.927
205,6,1422.16,6,1461.8,2,1,170.893
206,6,1422.16,6,1468.79,2,2,170.859
207,6,1422.16,6,1459.84,2,2,170.825
208,6,1422.16,6,1459.84,2,2,170.791
209,6,1422.16,6,1459.84,2,2,170.757
210,6,1422.16,6,1459.84,2,2,170.722
211,6,1422.16,6,1456.29,2,2,170.688
212,6,1422.16,6,1455.5,2,2,170.654
213,5,1617.17,5,1617.17,1,2,170.62
214,5,1585.6,5,1585.6,0,2,170.586
215,5,1585.6,5,1585.6,2,2,170.552
216,5,1536.17,5,1536.17,2,2,170.518
217,5,1522.49,5,1522.49,0,2,170.484
218,5,1506.47,5,1506.47,0,1,170.45
219,5,1506.47,5,1506.47,0,1,170.415
220,5,1506.47,5,1506.47,0,1,170.381
221,5,1502.71,5,1502.71,0,1,170.347
222,5,1502.71,5,1502.71,0,1,170.313
223,5,1502.71,5,1502.71,0,1,170.279
224,5,1502.71,5,1502.71,0,1,170.245
225,5,1502.71,5,1502.71,0,1,170.211
226,5,1502.71,5,1502.71,0,1,170.177
227,5,1502.7,5,1502.7,0,1,170.143
228,5,1502.6,5,1502.6,0,1,170.109
229,5,1502.6,5,1503.03,0,1,170.075
230,5,1502.6,5,1519.33,3,0,170.041
231,5,1502.6,5,1518.79,0,1,170.007
232,5,1502.6,5,1518.79,0,1,169.973
233,5,1502.6,5,1518.79,0,1,169.939
234,5,1502.6,5,1518.79,0,1,169.905
235,5,1493.87,5,1493.87,0,1,169.871
236,5,1493.87,5,1494.47,0,1,169.837
237,5,1483.9,5,1483.9,0,1,169.803
238,5,1483.9,5,1483.9,0,1,169.769
239,5,1483.9,5,1483.9,0,1,169.735
240,5,1483.9,5,1483.9,0,1,169.701
