iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,27,2143.21,27,2143.21,1,2,33,378.454,1,4.2,1,1,1,1,4.2,1
1,26,1971.29,26,1971.29,3,1,33,378.265,1,4.2,1,4.2,1,4.2,4.2,1
2,22,2008.49,22,2008.49,1,2,33,378.076,1,7.08,1,4.2,1,4.2,7.08,1
3,22,2008.49,22,2032.3,3,0,9,377.887,1,7.08,1,4.68,1.8,4.2,7.08,1
4,22,2008.49,22,2016,3,3,13,377.698,1,7.08,1,5.512,1.8,4.2,7.08,2.2
5,21,1882.08,21,1882.08,1,2,33,377.509,1,9.672,1,5.512,1.8,4.2,9.672,2.2
6,21,1856.47,21,1856.47,3,2,33,377.32,1,9.672,1,8.2608,1.8,4.2,12.0048,2.2
7,21,1856.47,21,1856.47,0,3,0,377.132,0.9,9.672,1,8.2608,1.8,4.2,12.0048,1.98
8,21,1843.93,21,1843.93,3,2,33,376.943,0.9,9.672,1,10.7347,1.8,4.2,14.1043,1.98
9,21,1843.93,21,1843.93,3,3,0,376.755,0.9,9.672,1,9.66125,1.8,4.2,14.1043,1.782
10,21,1843.93,21,1931.77,1,2,9,376.566,0.9,9.6048,1,9.66125,1.8,4.2,13.5939,1.782
11,21,1843.93,21,1848.99,3,1,13,376.378,0.9,9.6048,1,9.99512,1.8,5.08,13.5939,1.782
12,21,1822.02,21,1822.02,2,1,33,376.19,0.9,9.6048,4.2,9.99512,1.8,7.872,13.5939,1.782
13,21,1822.02,21,1822.02,2,2,13,376.002,0.9,9.6048,5.08,9.99512,1.8,7.872,13.5345,1.782
14,21,1822.02,21,1957.16,1,2,9,375.814,0.9,9.54432,5.08,9.99512,1.8,7.872,13.081,1.782
15,21,1822.02,21,1958.61,1,2,9,375.626,0.9,9.48989,5.08,9.99512,1.8,7.872,12.6729,1.782
16,20,1967.49,20,1967.49,1,2,33,375.438,0.9,11.8409,5.08,9.99512,1.8,7.872,14.7056,1.782
17,20,1863.27,20,1863.27,2,2,33,375.25,0.9,11.8409,7.872,9.99512,1.8,7.872,16.5351,1.782
18,20,1863.27,20,1863.27,3,2,0,375.063,0.9,11.8409,7.872,8.99561,1.8,7.872,14.8816,1.782
19,20,1863.27,20,1863.27,3,0,0,374.875,0.9,11.8409,7.872,8.09605,1.62,7.872,14.8816,1.782
20,20,1863.27,20,1863.27,2,1,13,374.688,0.9,11.8409,8.3848,8.09605,1.62,8.3848,14.8816,1.782
