iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,0,16,2225.43,16,2225.43,1,1,33,281.661,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0,15,2276.56,15,2276.56,1,1,33,281.521,0.21814,0.345581,0.21814,0.21814,0.21814,0.345581,0.21814,0.21814
2,0,15,2221.52,15,2221.52,1,3,33,281.38,0.182242,0.453275,0.182242,0.182242,0.182242,0.453275,0.182242,0.182242
3,0,15,2221.52,15,2221.52,1,3,0,281.239,0.145549,0.563354,0.145549,0.145549,0.161498,0.401754,0.161498,0.275249
4,0,15,2221.52,15,2387.57,1,1,9,281.099,0.164348,0.506955,0.164348,0.164348,0.169174,0.420927,0.169174,0.240725
5,0,15,2221.52,15,2387.57,0,1,0,280.958,0.167876,0.496373,0.167876,0.167876,0.171874,0.411669,0.171874,0.244583
6,0,15,2221.52,15,2298.87,0,2,13,280.818,0.152596,0.505532,0.170936,0.170936,0.186914,0.360167,0.186914,0.266005
7,0,15,2221.52,15,2298.87,1,1,0,280.677,0.174173,0.492703,0.166562,0.166562,0.18283,0.352344,0.204614,0.260211
8,0,15,2221.52,15,2298.87,2,0,0,280.537,0.1931,0.437579,0.18466,0.18466,0.196099,0.305318,0.219468,0.279115
9,0,15,2221.52,15,2290,1,0,13,280.397,0.197577,0.447797,0.165687,0.188939,0.171383,0.314713,0.226206,0.287698
10,0,15,2221.52,15,2290,3,3,0,280.256,0.193764,0.458461,0.162484,0.185292,0.187871,0.308458,0.221696,0.281975
11,0,15,2212.18,15,2212.18,3,2,33,280.116,0.198159,0.468942,0.166164,0.166735,0.197994,0.325112,0.23365,0.243243
12,0,15,2212.18,15,2212.18,1,2,0,279.976,0.176725,0.41829,0.148185,0.2568,0.17277,0.283721,0.331247,0.212263
13,0,15,2212.18,15,2212.18,3,0,0,279.836,0.192527,0.366259,0.16143,0.279784,0.184452,0.302936,0.285986,0.226625
14,0,15,2212.18,15,2250.66,3,1,9,279.696,0.202181,0.384674,0.169518,0.243627,0.161603,0.31143,0.294001,0.232966
15,0,15,2174.29,15,2174.29,0,0,33,279.556,0.201585,0.383588,0.169012,0.245815,0.163036,0.305272,0.296643,0.235049
16,0,15,2174.29,15,2174.29,3,3,0,279.417,0.296415,0.338049,0.148923,0.216613,0.246011,0.275013,0.267238,0.211739
17,0,15,2009.14,15,2009.14,3,1,33,279.277,0.306808,0.349911,0.154123,0.189158,0.255032,0.285104,0.277042,0.182822
18,0,14,1906.23,14,1906.23,2,1,33,279.137,0.272569,0.31087,0.136905,0.279657,0.219187,0.385591,0.238107,0.157116
19,0,14,1906.23,14,1906.23,3,1,0,278.998,0.24877,0.283734,0.212255,0.255241,0.18028,0.494656,0.195845,0.129218
20,0,14,1798.69,14,1798.69,0,2,33,278.858,0.261066,0.297766,0.222739,0.218429,0.200401,0.438261,0.217707,0.143631
21,0,14,1733.66,14,1733.66,0,1,33,278.719,0.359137,0.258256,0.193173,0.189435,0.175027,0.382829,0.316708,0.125436
22,0,14,1733.66,14,1733.66,1,2,0,278.579,0.465714,0.215315,0.161044,0.157927,0.144424,0.490715,0.261364,0.103497
23,0,14,1691.74,14,1691.74,2,1,33,278.44,0.480434,0.190583,0.166099,0.162884,0.150501,0.511489,0.230165,0.107845
24,0,14,1688.26,14,1688.26,0,2,33,278.301,0.429505,0.170349,0.25456,0.145585,0.117918,0.617241,0.18035,0.0844912
25,0,14,1688.26,14,1691.17,2,2,9,278.162,0.537272,0.138166,0.206485,0.118077,0.104234,0.545795,0.275289,0.0746816
26,0,14,1688.26,14,1691.17,0,1,0,278.023,0.53311,0.137059,0.212704,0.117127,0.103947,0.544472,0.27711,0.0744709
27,0,14,1688.26,14,1691.17,2,1,0,277.884,0.473496,0.154554,0.239876,0.132074,0.117601,0.484579,0.313572,0.0842475
28,0,14,1656.14,14,1656.14,3,2,33,277.745,0.491604,0.160428,0.210878,0.13709,0.130889,0.426278,0.349072,0.0937606
29,0,14,1605.75,14,1605.75,0,1,33,277.606,0.446053,0.145531,0.191306,0.217111,0.109055,0.355254,0.457576,0.078115
30,0,14,1605.75,14,1618.81,3,3,9,277.467,0.55309,0.117404,0.154341,0.175165,0.0905772,0.464394,0.380154,0.0648749
31,0,14,1584.92,14,1584.92,0,3,33,277.328,0.547918,0.11627,0.152858,0.182954,0.0896934,0.460013,0.376552,0.0737407
32,0,14,1584.92,14,1584.92,2,3,0,277.19,0.648788,0.0903226,0.118752,0.142137,0.0844684,0.433357,0.354718,0.127456
33,0,14,1574.76,14,1574.76,0,2,33,277.051,0.654964,0.0911465,0.110443,0.143447,0.0856591,0.43961,0.359822,0.114909
34,0,14,1574.76,14,1701.73,1,3,9,276.913,0.741583,0.0682612,0.0827159,0.10744,0.0712855,0.365963,0.467119,0.0956326
35,0,14,1574.76,14,1656.2,0,0,13,276.774,0.732988,0.0791376,0.0817213,0.106153,0.0705928,0.362526,0.462754,0.104128
36,0,13,1507.65,13,1507.65,0,2,33,276.636,0.733452,0.078998,0.0815777,0.105972,0.0852437,0.356812,0.455483,0.102461
37,0,13,1444.66,13,1444.66,2,2,33,276.497,0.804948,0.0578069,0.0596949,0.0775498,0.0688626,0.288327,0.560037,0.0827742
38,0,13,1415.91,13,1415.91,0,2,33,276.359,0.76274,0.0547468,0.109064,0.073449,0.0535705,0.224363,0.657671,0.0643952
39,0,13,1415.91,13,1603.12,0,1,9,276.221,0.827091,0.0398947,0.0794875,0.0535264,0.0403631,0.169097,0.742019,0.0485209
40,0,13,1415.91,13,1569.82,0,2,13,276.083,0.813195,0.0430975,0.0858806,0.0578269,0.039931,0.177563,0.734503,0.0480032
41,0,13,1415.91,13,1513.02,0,3,13,275.945,0.811407,0.0435065,0.0867076,0.0583791,0.0401453,0.178569,0.733024,0.0482626
42,0,13,1415.91,13,1500.22,0,2,13,275.807,0.809642,0.0439099,0.0875237,0.0589239,0.0395488,0.175968,0.722551,0.061932
43,0,13,1415.91,13,1500.22,0,2,0,275.669,0.807902,0.0443078,0.0883289,0.0594613,0.0397529,0.176929,0.721061,0.0622572
44,0,13,1415.91,13,1500.22,0,3,0,275.531,0.761898,0.0549142,0.109488,0.0736995,0.047907,0.213284,0.663775,0.0750341
45,0,13,1415.91,13,1500.22,0,2,0,275.393,0.709954,0.0668887,0.133382,0.0897757,0.0480508,0.213988,0.666118,0.0718429
46,0,13,1415.91,13,1484.92,0,2,13,275.256,0.653049,0.0800053,0.159559,0.107387,0.0568345,0.253181,0.605002,0.0849826
47,0,13,1415.91,13,1484.92,0,2,0,275.118,0.654163,0.0797418,0.159056,0.107039,0.0567087,0.252696,0.605794,0.0848013
48,0,13,1415.91,13,1484.92,1,2,0,274.98,0.593804,0.0936516,0.186826,0.125718,0.0658,0.293295,0.542501,0.0984042
49,0,13,1415.91,13,1484.92,0,3,0,274.843,0.59756,0.0880008,0.187965,0.126474,0.0749067,0.333987,0.479075,0.112032
50,0,13,1415.91,13,1466.39,0,2,13,274.706,0.535601,0.10154,0.216916,0.145943,0.075723,0.337727,0.484475,0.102074
51,0,13,1415.91,13,1706.38,1,2,9,274.568,0.539319,0.100717,0.215192,0.144771,0.0752142,0.335559,0.487832,0.101395
52,0,13,1415.91,13,1706.38,2,3,0,274.431,0.533643,0.110258,0.212888,0.14321,0.0776776,0.346652,0.470948,0.104722
53,0,13,1415.91,13,1683.45,0,2,13,274.294,0.550677,0.113742,0.187838,0.147743,0.0784225,0.350081,0.475636,0.0958598
54,0,13,1415.91,13,1683.45,0,1,0,274.157,0.554309,0.112816,0.186327,0.146547,0.0778643,0.347693,0.479261,0.0951812
55,0,13,1415.91,13,1683.45,2,2,0,274.019,0.492408,0.128477,0.212215,0.1669,0.0834983,0.300303,0.514126,0.102072
56,0,13,1415.91,13,1683.45,3,2,0,273.882,0.508375,0.132608,0.186742,0.172275,0.094139,0.338659,0.452117,0.115085
