Instancia,Algoritmo,Run,Tiempo_s
c101,CLASSIC,1,4.3929
c101,CLASSIC,2,4.4322
c101,CLASSIC,3,4.4281
c101,CLASSIC,4,4.3851
c101,CLASSIC,5,4.3419
c101,CLASSIC,6,5.2169
c101,CLASSIC,7,4.3843
c101,CLASSIC,8,4.3587
c101,CLASSIC,9,4.3703
c101,CLASSIC,10,4.3496
c101,QLEARNING,1,4.462
c101,QLEARNING,2,4.5262
c101,QLEARNING,3,4.6215
c101,QLEARNING,4,4.5885
c101,QLEARNING,5,5.0887
c101,QLEARNING,6,5.1113
c101,QLEARNING,7,4.6745
c101,QLEARNING,8,5.2816
c101,QLEARNING,9,5.0002
c101,QLEARNING,10,4.8452
c102,CLASSIC,1,5.2397
c102,CLASSIC,2,5.2599
c102,CLASSIC,3,5.407
c102,CLASSIC,4,5.3804
c102,CLASSIC,5,5.2608
c102,CLASSIC,6,5.3737
c102,CLASSIC,7,5.1799
c102,CLASSIC,8,5.4495
c102,CLASSIC,9,5.1835
c102,CLASSIC,10,5.2131
c102,QLEARNING,1,5.0015
c102,QLEARNING,2,5.2065
c102,QLEARNING,3,4.5513
c102,QLEARNING,4,5.0279
c102,QLEARNING,5,4.8844
c102,QLEARNING,6,5.298
c102,QLEARNING,7,4.6231
c102,QLEARNING,8,4.4416
c102,QLEARNING,9,5.1048
c102,QLEARNING,10,5.5199
c103,CLASSIC,1,5.8194
c103,CLASSIC,2,5.8433
c103,CLASSIC,3,5.7959
c103,CLASSIC,4,5.7075
c103,CLASSIC,5,5.8661
c103,CLASSIC,6,5.7757
c103,CLASSIC,7,5.8558
c103,CLASSIC,8,5.7023
c103,CLASSIC,9,5.769
c103,CLASSIC,10,5.8874
c103,QLEARNING,1,4.9942
c103,QLEARNING,2,4.8574
c103,QLEARNING,3,5.0443
c103,QLEARNING,4,4.9664
c103,QLEARNING,5,4.7551
c103,QLEARNING,6,4.8141
c103,QLEARNING,7,4.9714
c103,QLEARNING,8,4.8903
c103,QLEARNING,9,4.8302
c103,QLEARNING,10,5.9434
c104,CLASSIC,1,5.8964
c104,CLASSIC,2,5.9128
c104,CLASSIC,3,5.7569
c104,CLASSIC,4,5.8573
c104,CLASSIC,5,6.0064
c104,CLASSIC,6,5.8672
c104,CLASSIC,7,5.8956
c104,CLASSIC,8,5.6791
c104,CLASSIC,9,5.6972
c104,CLASSIC,10,5.72
c104,QLEARNING,1,6.4283
c104,QLEARNING,2,5.5358
c104,QLEARNING,3,6.1946
c104,QLEARNING,4,6.3699
c104,QLEARNING,5,6.7631
c104,QLEARNING,6,5.3388
c104,QLEARNING,7,6.4226
c104,QLEARNING,8,6.5772
c104,QLEARNING,9,5.7433
c104,QLEARNING,10,6.3455
c105,CLASSIC,1,4.6592
c105,CLASSIC,2,4.6617
c105,CLASSIC,3,4.6798
c105,CLASSIC,4,4.6567
c105,CLASSIC,5,4.6325
c105,CLASSIC,6,4.7621
c105,CLASSIC,7,4.6516
c105,CLASSIC,8,4.7128
c105,CLASSIC,9,4.7401
c105,CLASSIC,10,4.8307
c105,QLEARNING,1,4.9818
c105,QLEARNING,2,5.4035
c105,QLEARNING,3,5.2306
c105,QLEARNING,4,5.2589
c105,QLEARNING,5,5.1586
c105,QLEARNING,6,5.4035
c105,QLEARNING,7,4.7596
c105,QLEARNING,8,5.8625
c105,QLEARNING,9,5.2905
c105,QLEARNING,10,5.3412
c106,CLASSIC,1,5.0433
c106,CLASSIC,2,5.0364
c106,CLASSIC,3,4.9401
c106,CLASSIC,4,4.9788
c106,CLASSIC,5,4.9775
c106,CLASSIC,6,4.9612
c106,CLASSIC,7,5.021
c106,CLASSIC,8,4.8482
c106,CLASSIC,9,5.0485
c106,CLASSIC,10,5.0481
c106,QLEARNING,1,6.0257
c106,QLEARNING,2,6.5384
c106,QLEARNING,3,6.0752
c106,QLEARNING,4,6.0813
c106,QLEARNING,5,6.3597
c106,QLEARNING,6,6.5898
c106,QLEARNING,7,6.353
c106,QLEARNING,8,6.3774
c106,QLEARNING,9,6.1638
c106,QLEARNING,10,6.4307
c107,CLASSIC,1,4.8114
c107,CLASSIC,2,4.7237
c107,CLASSIC,3,4.7311
c107,CLASSIC,4,4.8236
c107,CLASSIC,5,4.8234
c107,CLASSIC,6,4.8538
c107,CLASSIC,7,4.7091
c107,CLASSIC,8,4.8285
c107,CLASSIC,9,4.7892
c107,CLASSIC,10,4.8416
c107,QLEARNING,1,6.277
c107,QLEARNING,2,6.2007
c107,QLEARNING,3,6.0342
c107,QLEARNING,4,6.2782
c107,QLEARNING,5,6.2926
c107,QLEARNING,6,6.427
c107,QLEARNING,7,6.169
c107,QLEARNING,8,6.2735
c107,QLEARNING,9,6.0859
c107,QLEARNING,10,6.0775
c108,CLASSIC,1,5.0599
c108,CLASSIC,2,5.1519
c108,CLASSIC,3,5.0471
c108,CLASSIC,4,5.0748
c108,CLASSIC,5,5.0354
c108,CLASSIC,6,5.239
c108,CLASSIC,7,5.0273
c108,CLASSIC,8,5.1152
c108,CLASSIC,9,5.27
c108,CLASSIC,10,5.0162
c108,QLEARNING,1,4.32
c108,QLEARNING,2,4.8966
c108,QLEARNING,3,4.7456
c108,QLEARNING,4,4.6616
c108,QLEARNING,5,4.7186
c108,QLEARNING,6,4.9511
c108,QLEARNING,7,5.0344
c108,QLEARNING,8,4.8638
c108,QLEARNING,9,4.5611
c108,QLEARNING,10,4.9073
c109,CLASSIC,1,5.3387
c109,CLASSIC,2,5.4495
c109,CLASSIC,3,5.111
c109,CLASSIC,4,5.1199
c109,CLASSIC,5,5.2756
c109,CLASSIC,6,5.2351
c109,CLASSIC,7,5.1335
c109,CLASSIC,8,5.1301
c109,CLASSIC,9,5.1444
c109,CLASSIC,10,5.1241
c109,QLEARNING,1,4.5773
c109,QLEARNING,2,5.1565
c109,QLEARNING,3,4.5497
