RC101-MINI-HARD

VEHICLE
NUMBER     CAPACITY
  10         50

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40.00      50.00       0.00       0.00    1000.00       0.00
    1      25.00      85.00      20.00     100.00     200.00      10.00
    2      22.00      75.00      30.00     150.00     250.00      10.00
    3      22.00      85.00      10.00      50.00     150.00      10.00
    4      60.00      20.00      20.00     300.00     400.00      10.00
    5      65.00      25.00      25.00     350.00     450.00      10.00
    6      62.00      22.00      10.00     400.00     500.00      10.00
    7      50.00      80.00      15.00     500.00     600.00      10.00
    8      55.00      85.00      20.00     550.00     650.00      10.00
    9      52.00      82.00      25.00     600.00     700.00      10.00
   10      15.00      15.00      35.00     100.00     800.00      10.00
   11      10.00      20.00      10.00     150.00     850.00      10.00
   12      12.00      18.00      15.00     200.00     900.00      10.00
